              nu/v [m^-1]        E_r/v [kV s /m^2]                 N_theta                   N_zeta                     N_xi                     D_11                     D_31                     D_13                     D_33             D_33_Spitzer      Wall-clock time [s]             CPU time [s] 
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.2150000000000000E+03   0.2000000000000000E+02   0.7624828490030690E-01   0.2558360543396748E-01  -0.2558116870744807E-01  -0.8731899501506196E+04  -0.6148412804544877E+05   0.2911599000000000E+03   0.3761741779000000E+04
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.2150000000000000E+03   0.4000000000000000E+02   0.5749966906915836E-01   0.2426645040401400E+00  -0.2426668046671885E+00  -0.1409334193491449E+05  -0.6148412804544877E+05   0.4793621000000000E+03   0.6463855163000000E+04
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.2150000000000000E+03   0.6000000000000000E+02   0.5407865615329335E-01   0.2285447600707550E+00  -0.2285442946502561E+00  -0.1590060903597490E+05  -0.6148412804544877E+05   0.7551960000000000E+03   0.1010339657600000E+05
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.2150000000000000E+03   0.8000000000000000E+02   0.5256858859701008E-01   0.1611262151951466E+00  -0.1611259863076538E+00  -0.1673461741346474E+05  -0.6148412804544877E+05   0.9543484000000000E+03   0.1283208564500000E+05
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.2150000000000000E+03   0.1000000000000000E+03   0.5166988307516245E-01   0.1084523038053310E+00  -0.1084523538173589E+00  -0.1718940202008722E+05  -0.6148412804544877E+05   0.1222333000000000E+04   0.1633340540900000E+05
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.2150000000000000E+03   0.1200000000000000E+03   0.5106444717940341E-01   0.8366547306333412E-01  -0.8366544480102654E-01  -0.1746272112305874E+05  -0.6148412804544877E+05   0.1557310500000000E+04   0.2065617642700000E+05
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.2150000000000000E+03   0.1400000000000000E+03   0.5063516069432704E-01   0.7918909888677221E-01  -0.7918906130324398E-01  -0.1763863344716248E+05  -0.6148412804544877E+05   0.1576330400000000E+04   0.2158421931500001E+05
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.2150000000000000E+03   0.1600000000000000E+03   0.5032340199995766E-01   0.8352992949999311E-01  -0.8352992250627962E-01  -0.1775858567175232E+05  -0.6148412804544877E+05   0.1673634200000000E+04   0.2311589083799999E+05
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.2150000000000000E+03   0.1800000000000000E+03   0.5009223211935511E-01   0.8861412662244156E-01  -0.8861412334229556E-01  -0.1784454320718040E+05  -0.6148412804544877E+05   0.2199328500000000E+04   0.2943941617200000E+05
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.2150000000000000E+03   0.2000000000000000E+03   0.4991585258083917E-01   0.9115530632936167E-01  -0.9115524307745641E-01  -0.1790869143768944E+05  -0.6148412804544877E+05   0.2356701900000000E+04   0.3172526723199998E+05
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.2150000000000000E+03   0.2200000000000000E+03   0.4977592470774472E-01   0.9123384963660119E-01  -0.9123257762730504E-01  -0.1795819906087595E+05  -0.6148412804544877E+05   0.2582034100000000E+04   0.3486688166099999E+05
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.2150000000000000E+03   0.2400000000000000E+03   0.4965831471271930E-01   0.9022588919852574E-01  -0.9022761553307738E-01  -0.1799927167803113E+05  -0.6148412804544877E+05   0.2928394200000000E+04   0.3915967664100000E+05
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.2150000000000000E+03   0.2600000000000000E+03   0.4955637012550475E-01   0.8835814135733072E-01  -0.8835863996750626E-01  -0.1803494175836699E+05  -0.6148412804544877E+05   0.3148012600000000E+04   0.4216247805400001E+05
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.2150000000000000E+03   0.2800000000000000E+03   0.4946550540911911E-01   0.8761105467293964E-01  -0.8761163246209995E-01  -0.1806033254945842E+05  -0.6148412804544877E+05   0.3464468400000000E+04   0.4609895422499999E+05
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.2150000000000000E+03   0.3000000000000000E+03   0.4937423828952181E-01   0.8773403407974183E-01  -0.8774079709101484E-01  -0.1807914705416160E+05  -0.6148412804544877E+05   0.3449566400000000E+04   0.4678673115500004E+05
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.2150000000000000E+03   0.3200000000000000E+03   0.4930104250184731E-01   0.8795146879110662E-01  -0.8796449245695918E-01  -0.1809423772447016E+05  -0.6148412804544877E+05   0.3467552900000000E+04   0.4762881309299998E+05
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.2150000000000000E+03   0.3400000000000000E+03   0.4924959891125046E-01   0.8812232660966798E-01  -0.8814140493458338E-01  -0.1810628391626724E+05  -0.6148412804544877E+05   0.4046226400000000E+04   0.5420558055700001E+05
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.2150000000000000E+03   0.3600000000000000E+03   0.4920883237797828E-01   0.8831928866909593E-01  -0.8834387440651185E-01  -0.1811610264838065E+05  -0.6148412804544877E+05   0.4378936000000000E+04   0.5876727963999996E+05
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.2150000000000000E+03   0.3800000000000000E+03   0.4917599597706668E-01   0.8850728247782606E-01  -0.8853473695048795E-01  -0.1812421980652654E+05  -0.6148412804544877E+05   0.4652237100000000E+04   0.6224787463199999E+05
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.2150000000000000E+03   0.4000000000000000E+03   0.4914864494053377E-01   0.8863589243825735E-01  -0.8866651745619190E-01  -0.1813109703274383E+05  -0.6148412804544877E+05   0.4826751900000000E+04   0.6479068307699997E+05
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.2150000000000000E+03   0.4200000000000000E+03   0.4912660110863864E-01   0.8876348657824999E-01  -0.8879770539332150E-01  -0.1813705442841411E+05  -0.6148412804544877E+05   0.5070021200000000E+04   0.6796271889399993E+05
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.2150000000000000E+03   0.4400000000000000E+03   0.4910964135716771E-01   0.8882136101403421E-01  -0.8885515310609476E-01  -0.1814208335532841E+05  -0.6148412804544877E+05   0.5014498800000000E+04   0.6778296369999996E+05
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.2150000000000000E+03   0.4600000000000000E+03   0.4909714043659629E-01   0.8883861788457928E-01  -0.8887466043844963E-01  -0.1814574129047714E+05  -0.6148412804544877E+05   0.5448023700000000E+04   0.7339561949600000E+05
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.2150000000000000E+03   0.4800000000000000E+03   0.4908817471477106E-01   0.8886172108591978E-01  -0.8889864768795490E-01  -0.1814830842195536E+05  -0.6148412804544877E+05   0.5050562800000000E+04   0.6970869377400004E+05
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.2150000000000000E+03   0.5000000000000000E+03   0.4908202122223919E-01   0.8885911056450274E-01  -0.8889518530660354E-01  -0.1815008954546390E+05  -0.6148412804544877E+05   0.5483467800000000E+04   0.7529436843700008E+05
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.2150000000000000E+03   0.5200000000000000E+03   0.4907757206265671E-01   0.8885340520618784E-01  -0.8889102798783417E-01  -0.1815134020779637E+05  -0.6148412804544877E+05   0.5644375800000000E+04   0.7781932448199985E+05
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.2150000000000000E+03   0.5400000000000000E+03   0.4907462230946801E-01   0.8884191294085567E-01  -0.8888035930100603E-01  -0.1815217926238561E+05  -0.6148412804544877E+05  -0.2088918169000000E+06   0.8086262693800009E+05
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.2150000000000000E+03   0.5600000000000000E+03   0.4907241254277133E-01   0.8881172111520289E-01  -0.8884771972881775E-01  -0.1815275348965761E+05  -0.6148412804544877E+05   0.6211935400000000E+04   0.8479548703900003E+05
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.2150000000000000E+03   0.5800000000000000E+03   0.4907108372120840E-01   0.8879123191564375E-01  -0.8882574648136890E-01  -0.1815305017074784E+05  -0.6148412804544877E+05   0.6477083200000000E+04   0.8827659634599998E+05
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.2150000000000000E+03   0.6000000000000000E+03   0.4907056555986728E-01   0.8877920250703336E-01  -0.8881244584933103E-01  -0.1815314836973567E+05  -0.6148412804544877E+05   0.6701529200000000E+04   0.9104237670899997E+05
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.2150000000000000E+03   0.6200000000000000E+03   0.4907041593092923E-01   0.8877159017014394E-01  -0.8880441030586425E-01  -0.1815317743501812E+05  -0.6148412804544877E+05   0.6816827800000000E+04   0.9331371540600015E+05
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.2150000000000000E+03   0.6400000000000000E+03   0.4907037118219969E-01   0.8876604217885085E-01  -0.8879860296623762E-01  -0.1815318870402467E+05  -0.6148412804544877E+05   0.7220221800000000E+04   0.9817870106700016E+05
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.2150000000000000E+03   0.6600000000000000E+03   0.4907035339689288E-01   0.8876219193430353E-01  -0.8879451326231155E-01  -0.1815319467471369E+05  -0.6148412804544877E+05   0.7284238500000000E+04   0.9955857886799984E+05
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.2150000000000000E+03   0.6800000000000000E+03   0.4907034481610908E-01   0.8876018419262485E-01  -0.8879238487925761E-01  -0.1815319723876308E+05  -0.6148412804544877E+05   0.7464966100000000E+04   0.1021570521759999E+06
   0.1000000000000000E-04   0.1000000000000000E-02   0.4700000000000000E+02   0.2150000000000000E+03   0.2000000000000000E+02   0.9503254571780575E-03  -0.3396899797461024E+00   0.3396900529177517E+00  -0.1025032441988931E+05  -0.6148412804544877E+05   0.2230596000000000E+03   0.3051731693000067E+04
