nu / v, D_11, D_31
   9.999999999999984e-06,    1.080104503856789e-04,    1.941029767617441e-02
   1.635430285249605e-05,    1.379313286466176e-04,    1.658214864342070e-02
   2.674632217911610e-05,    1.771107990826978e-04,    1.314174324804697e-02
   4.374174531076968e-05,    2.209556772627804e-04,    9.934092600603265e-03
   7.153657501090764e-05,    2.640069401563411e-04,    6.821065729708807e-03
   1.169930812758687e-04,    3.012789809937474e-04,    3.738587283551373e-03
   1.913340282832238e-04,    3.294088451256818e-04,    7.483000657776296e-04
   3.129134644531892e-04,    3.486586063074422e-04,   -2.332479836746233e-03
   5.117481564291223e-04,    3.582731419103112e-04,   -5.023174842364909e-03
   8.369284334448390e-04,    3.500104886124279e-04,   -6.286717484892787e-03
   1.368738106642201e-03,    3.190972138945559e-04,   -6.046388297362845e-03
   2.238475752177858e-03,    2.768651477264170e-04,   -5.143894341321364e-03
   3.660871037908566e-03,    2.456575618487581e-04,   -4.220049439527332e-03
   5.987099365788824e-03,    2.425859688064421e-04,   -3.496397253059241e-03
   9.791483623609763e-03,    2.764307404372777e-04,   -2.983283233333405e-03
   1.601328885557698e-02,    3.558432181494109e-04,   -2.634255196403212e-03
   2.618861756086058e-02,    4.948955513077425e-04,   -2.398777967114006e-03
   4.282965828785112e-02,    7.114366944598427e-04,   -2.232504989032769e-03
   7.004492027084347e-02,    1.019034522400202e-03,   -2.052075457718976e-03
   1.145535839388315e-01,    1.431905563131977e-03,   -1.711906388050375e-03
   1.873444004574479e-01,    2.005371112716710e-03,   -1.189096661089870e-03
   3.063887062800403e-01,    2.884839464917839e-03,   -6.691748308977951e-04
   5.010773693088242e-01,    4.343685437983086e-03,   -3.180591257165838e-04
   8.194771050208527e-01,    6.805307538358666e-03,   -1.355565575876856e-04
   1.340197675619775e+00,    1.090804189165383e-02,   -5.387764699654033e-05
   2.191799866929710e+00,    1.764742210213560e-02,   -2.052278450603114e-05
   3.584535881582906e+00,    2.855627574408663e-02,   -7.677595971050750e-06
   5.862258539304579e+00,    4.578087760417993e-02,   -2.862367958386314e-06
   9.587315155141825e+00,    7.148918413087012e-02,   -1.066473951565133e-06
   1.567938555895147e+01,    1.055335183234881e-01,   -3.938253082760135e-07
   2.564254199721459e+01,    1.433421489227303e-01,   -1.389168582724942e-07
   4.193658977302963e+01,    1.840413900675686e-01,   -4.133916352923574e-08
   6.858436897490158e+01,    2.413930928429509e-01,   -5.160513352790958e-09
   1.121649541162876e+02,    3.317542067005395e-01,    6.842662501864734e-09
   1.834379629054092e+02,    4.502310183384436e-01,    9.519248965561330e-09
   3.000000000000001e+02,    5.499074425619637e-01,    8.353738578685495e-09
