              nu/v [m^-1]        E_r/v [kV s /m^2]                 N_theta                   N_zeta                     N_xi                     D_11                     D_31                     D_13                     D_33             D_33_Spitzer      Wall-clock time [s]             CPU time [s] 
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.1530000000000000E+03   0.2000000000000000E+02   0.1715665696327826E+00   0.6198121424642786E+00  -0.6198121413517020E+00  -0.2830636012560162E+05  -0.6628557164949893E+05   0.5705550000000000E+02   0.7318705540000001E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.1530000000000000E+03   0.4000000000000000E+02   0.1043098323562438E+00   0.3211604311142621E+00  -0.3211604298050054E+00  -0.3407979561660779E+05  -0.6628557164949893E+05   0.1075425000000000E+03   0.1404603838000000E+04
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.1530000000000000E+03   0.6000000000000000E+02   0.9052349547279419E-01   0.3549027327979391E+00  -0.3549027312250381E+00  -0.3600348868112960E+05  -0.6628557164949893E+05   0.1588487000000000E+03   0.2082017774000000E+04
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.1530000000000000E+03   0.8000000000000000E+02   0.8586861488817134E-01   0.3418696587778495E+00  -0.3418696613071274E+00  -0.3688450748333994E+05  -0.6628557164949893E+05   0.2103497000000000E+03   0.2759571868000000E+04
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.1530000000000000E+03   0.1000000000000000E+03   0.8360274847917448E-01   0.3431232832014759E+00  -0.3431232111309286E+00  -0.3730124453849697E+05  -0.6628557164949893E+05   0.2615323000000000E+03   0.3433587127999999E+04
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.1530000000000000E+03   0.1200000000000000E+03   0.8218769934741739E-01   0.3460623664199869E+00  -0.3460622514111560E+00  -0.3755029445980744E+05  -0.6628557164949893E+05   0.3129907000000000E+03   0.4108997859000001E+04
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.1530000000000000E+03   0.1400000000000000E+03   0.8133879250872357E-01   0.3515323456679433E+00  -0.3515322926347173E+00  -0.3771134233187020E+05  -0.6628557164949893E+05   0.3643806000000000E+03   0.4788918279999998E+04
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.1530000000000000E+03   0.1600000000000000E+03   0.8081774697756630E-01   0.3557552714516016E+00  -0.3557552781941432E+00  -0.3781278389493981E+05  -0.6628557164949893E+05   0.4157340000000000E+03   0.5465428902000000E+04
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.1530000000000000E+03   0.1800000000000000E+03   0.8047288738932885E-01   0.3584131128486106E+00  -0.3584133255407428E+00  -0.3788448042899360E+05  -0.6628557164949893E+05   0.4666682000000000E+03   0.6136389466000001E+04
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.1530000000000000E+03   0.2000000000000000E+03   0.8024270805548543E-01   0.3601749954614505E+00  -0.3601751510588982E+00  -0.3793287092072748E+05  -0.6628557164949893E+05   0.5187873000000000E+03   0.6823264842000000E+04
