              nu/v [m^-1]        E_r/v [kV s /m^2]                 N_theta                   N_zeta                     N_xi                     D_11                     D_31                     D_13                     D_33             D_33_Spitzer      Wall-clock time [s]             CPU time [s] 
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.1500000000000000E+02   0.1400000000000000E+03   0.1433804511673680E-01  -0.1675725048408988E-01   0.2483409175482841E-01  -0.3644014751979821E+05  -0.6628557165245651E+05   0.3324000000000000E+00   0.2290020000000000E+00
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.1900000000000000E+02   0.1400000000000000E+03   0.1422890482047008E-01   0.1438983356427582E+00  -0.1477115664722863E+00  -0.3688414455362087E+05  -0.6628557164238110E+05   0.4533000000000000E+00   0.3888390000000000E+00
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.2300000000000000E+02   0.1400000000000000E+03   0.1470525293066362E-01   0.1842011595927253E+00  -0.1852970156397579E+00  -0.3720182873618708E+05  -0.6628557164196267E+05   0.6830000000000001E+00   0.6192050000000000E+00
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.2700000000000000E+02   0.1400000000000000E+03   0.1440580136461431E-01   0.2492126165250271E+00  -0.2506469646461216E+00  -0.3745600787762141E+05  -0.6628557164195877E+05   0.1004400000000000E+01   0.9398490000000002E+00
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.3100000000000000E+02   0.1400000000000000E+03   0.1441633601779587E-01   0.2583742590425079E+00  -0.2596211184023465E+00  -0.3764397287253145E+05  -0.6628557164195871E+05   0.1389000000000000E+01   0.1323558000000000E+01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.3500000000000000E+02   0.1400000000000000E+03   0.1448253373691570E-01   0.2522703008299250E+00  -0.2532029867412074E+00  -0.3768259174055739E+05  -0.6628557164195877E+05   0.2819800000000000E+01   0.2748066000000000E+01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.3900000000000000E+02   0.1400000000000000E+03   0.1451902570973916E-01   0.2470276154533415E+00  -0.2482832843531326E+00  -0.3767606204349737E+05  -0.6628557164195877E+05   0.2564200000000000E+01   0.2496301000000001E+01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.4300000000000000E+02   0.1400000000000000E+03   0.1456687844071481E-01   0.2427162163657024E+00  -0.2438175053932945E+00  -0.3765541229582026E+05  -0.6628557164195870E+05   0.3371700000000000E+01   0.3300796000000000E+01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.4700000000000000E+02   0.1400000000000000E+03   0.1454641600087841E-01   0.2482981146564064E+00  -0.2492048297138521E+00  -0.3768015711345890E+05  -0.6628557164195877E+05   0.4337400000000000E+01   0.4265156999999999E+01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.5100000000000000E+02   0.1400000000000000E+03   0.1455114531668857E-01   0.2523052796736135E+00  -0.2531946819411912E+00  -0.3770773181067016E+05  -0.6628557164195871E+05   0.5437000000000000E+01   0.5361416999999999E+01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.5500000000000000E+02   0.1400000000000000E+03   0.1454982384837946E-01   0.2565903677901923E+00  -0.2575263595400536E+00  -0.3773193485799045E+05  -0.6628557164195874E+05   0.6781100000000000E+01   0.6701877000000000E+01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.5900000000000000E+02   0.1400000000000000E+03   0.1455322778771806E-01   0.2590016437522184E+00  -0.2599578549739386E+00  -0.3775289341262361E+05  -0.6628557164195874E+05   0.8207100000000001E+01   0.8121642000000001E+01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.6500000000000000E+02   0.1400000000000000E+03   0.1455685936242372E-01   0.2583905546432009E+00  -0.2593460053533168E+00  -0.3776744722998245E+05  -0.6628557164195878E+05   0.1085760000000000E+02   0.1076063000000000E+02
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.7100000000000000E+02   0.1400000000000000E+03   0.1455826689467616E-01   0.2570116879281962E+00  -0.2579512094728673E+00  -0.3776975826978362E+05  -0.6628557164195867E+05   0.1371800000000000E+02   0.1360474600000001E+02
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.7500000000000000E+02   0.1400000000000000E+03   0.1455848378228523E-01   0.2566650728695193E+00  -0.2575993542028588E+00  -0.3776986657924706E+05  -0.6628557164195870E+05   0.1594610000000000E+02   0.1582345400000000E+02
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.8100000000000000E+02   0.1400000000000000E+03   0.1455854883881346E-01   0.2565398257538056E+00  -0.2574720287238176E+00  -0.3776985343821231E+05  -0.6628557164195883E+05   0.2022510000000000E+02   0.2007988900000001E+02
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.8500000000000000E+02   0.1400000000000000E+03   0.1455855403843303E-01   0.2565282204843311E+00  -0.2574602140370493E+00  -0.3776984838266898E+05  -0.6628557164195874E+05   0.2286530000000000E+02   0.2271224700000000E+02
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.9100000000000000E+02   0.1400000000000000E+03   0.1455855497337867E-01   0.2565259428321477E+00  -0.2574578939122004E+00  -0.3776984670416937E+05  -0.6628557164195877E+05   0.2780080000000000E+02   0.2762544400000002E+02
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.9500000000000000E+02   0.1400000000000000E+03   0.1455855501597648E-01   0.2565258273719695E+00  -0.2574577763930279E+00  -0.3776984657275072E+05  -0.6628557164195877E+05   0.3127320000000000E+02   0.3108238800000001E+02
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.1010000000000000E+03   0.1400000000000000E+03   0.1455855502320725E-01   0.2565258117496945E+00  -0.2574577603902748E+00  -0.3776984654305196E+05  -0.6628557164195880E+05   0.3713210000000000E+02   0.3692481900000001E+02
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.1110000000000000E+03   0.1400000000000000E+03   0.1455855502200300E-01   0.2565258110641309E+00  -0.2574577598341550E+00  -0.3776984654031337E+05  -0.6628557164195878E+05   0.4912530000000000E+02   0.4887171100000000E+02
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.1210000000000000E+03   0.1400000000000000E+03   0.1455855502271883E-01   0.2565258113965193E+00  -0.2574577598013593E+00  -0.3776984653334407E+05  -0.6628557164195883E+05   0.6420220000000000E+02   0.6390367400000002E+02
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.1310000000000000E+03   0.1400000000000000E+03   0.1455855502201116E-01   0.2565258113412058E+00  -0.2574577596598123E+00  -0.3776984653630553E+05  -0.6628557164195868E+05   0.8134610000000001E+02   0.8100070699999998E+02
   0.1000000000000000E-04   0.3000000000000000E-03   0.1900000000000000E+02   0.1500000000000000E+02   0.1400000000000000E+03   0.1422049425788513E-01   0.1426702646892234E+00  -0.1416865576202614E+00  -0.3708502713553506E+05  -0.6628557165991893E+05   0.4479000000000000E+00   0.3837670000000344E+00
   0.1000000000000000E-04   0.3000000000000000E-03   0.1900000000000000E+02   0.1900000000000000E+02   0.1400000000000000E+03   0.1401734628766981E-01   0.1524153997159481E+00  -0.1568336630222106E+00  -0.3703854650549707E+05  -0.6628557164993514E+05   0.7428000000000000E+00   0.6786919999999554E+00
   0.1000000000000000E-04   0.3000000000000000E-03   0.1900000000000000E+02   0.2300000000000000E+02   0.1400000000000000E+03   0.1462413098339413E-01   0.1648932532576995E+00  -0.1644939532771363E+00  -0.3728309381817096E+05  -0.6628557164951155E+05   0.1207500000000000E+01   0.1142378000000008E+01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1900000000000000E+02   0.2700000000000000E+02   0.1400000000000000E+03   0.1430824486727058E-01   0.2066622843704846E+00  -0.2065235108688170E+00  -0.3747397485666394E+05  -0.6628557164950830E+05   0.1852400000000000E+01   0.1785435000000007E+01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1900000000000000E+02   0.3100000000000000E+02   0.1400000000000000E+03   0.1431208141669934E-01   0.2137353223628158E+00  -0.2134286763941695E+00  -0.3760643737218439E+05  -0.6628557164950830E+05   0.2634800000000000E+01   0.2566934000000003E+01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1900000000000000E+02   0.3500000000000000E+02   0.1400000000000000E+03   0.1434399327326318E-01   0.2175603578739517E+00  -0.2171829189904889E+00  -0.3766498383607971E+05  -0.6628557164950833E+05   0.3697400000000000E+01   0.3626977000000011E+01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1900000000000000E+02   0.3900000000000000E+02   0.1400000000000000E+03   0.1435584664886983E-01   0.2235580889384177E+00  -0.2230701602128471E+00  -0.3771420832626006E+05  -0.6628557164950833E+05   0.4992800000000000E+01   0.4920525999999995E+01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1900000000000000E+02   0.4300000000000000E+02   0.1400000000000000E+03   0.1441268633317319E-01   0.2229898947297921E+00  -0.2224743288476629E+00  -0.3772285190956182E+05  -0.6628557164950830E+05   0.6551700000000000E+01   0.6473312999999962E+01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1900000000000000E+02   0.4700000000000000E+02   0.1400000000000000E+03   0.1439972341123619E-01   0.2193753948235112E+00  -0.2189231537793432E+00  -0.3771984787679907E+05  -0.6628557164950833E+05   0.8376500000000000E+01   0.8290876000000026E+01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1900000000000000E+02   0.5100000000000000E+02   0.1400000000000000E+03   0.1441405090452706E-01   0.2185655730248600E+00  -0.2181498739511215E+00  -0.3771353583271555E+05  -0.6628557164950833E+05   0.1049530000000000E+02   0.1039893100000000E+02
   0.1000000000000000E-04   0.3000000000000000E-03   0.1900000000000000E+02   0.5500000000000000E+02   0.1400000000000000E+03   0.1441676262084143E-01   0.2191521811740751E+00  -0.2187772274844990E+00  -0.3771455685652759E+05  -0.6628557164950833E+05   0.1299830000000000E+02   0.1288665500000002E+02
   0.1000000000000000E-04   0.3000000000000000E-03   0.1900000000000000E+02   0.5900000000000000E+02   0.1400000000000000E+03   0.1442085350443082E-01   0.2207968287682705E+00  -0.2204451628533228E+00  -0.3772199514388252E+05  -0.6628557164950830E+05   0.1568370000000000E+02   0.1555672000000004E+02
   0.1000000000000000E-04   0.3000000000000000E-03   0.1900000000000000E+02   0.6500000000000000E+02   0.1400000000000000E+03   0.1442307637355305E-01   0.2231595981661030E+00  -0.2228256209562969E+00  -0.3773603404732339E+05  -0.6628557164950835E+05   0.2094660000000000E+02   0.2079860000000002E+02
   0.1000000000000000E-04   0.3000000000000000E-03   0.1900000000000000E+02   0.7100000000000000E+02   0.1400000000000000E+03   0.1442365256322712E-01   0.2241594979588366E+00  -0.2238291907666216E+00  -0.3774473643147899E+05  -0.6628557164950822E+05   0.2638760000000000E+02   0.2621564399999994E+02
