  *** Flux-surface parameters 
      s =   0.250000000000000     
      Number of periods =            5
      psi_p =  -0.523700000000000     
      chi_p =   0.451200000000000     
      iota =  -0.861561962955891     
      B00 =    2.43110000000000     
      B_theta =   0.000000000000000E+000
      B_zeta =   -14.0876000000000     
      B00/(B_zeta+iota*B_theta) =  -0.172570203583293     
  *** Stellarator parameters 
      Minor_Radius =   0.215416889473901     
      Major_Radius =    5.79474312039817     
 
  *** Magnetic field strength Fourier modes 
  m, n, B_mn 
           0           0   2.43110000000000     
           0           1  0.111490000000000     
           0           2  1.715500000000000E-004
           0           3  1.617400000000000E-003
           0           4  6.098200000000000E-003
           0           5  1.488100000000000E-003
           0           6 -2.575200000000000E-004
           0           7  7.441800000000000E-005
           0           8 -8.209400000000000E-006
           0           9 -9.717399999999999E-006
           1          -8 -8.241300000000000E-006
           1          -7 -1.693000000000000E-005
           1          -6 -3.584800000000000E-005
           1          -5  1.458400000000000E-004
           1          -4  1.177800000000000E-004
           1          -3 -1.608000000000000E-003
           1          -2  3.558600000000000E-003
           1          -1  5.455300000000000E-003
           1           0 -4.077600000000000E-002
           1           1 -9.422800000000001E-002
           1           2  3.247700000000000E-003
           1           3 -2.945400000000000E-003
           1           4  8.913000000000000E-004
           1           5 -6.836000000000000E-004
           1           7  1.205500000000000E-005
           2          -7  9.075000000000000E-006
           2          -6 -1.821800000000000E-004
           2          -5 -5.392400000000000E-004
           2          -4  9.448500000000000E-005
           2          -3  4.919300000000000E-004
           2          -2  3.516300000000000E-005
           2          -1 -2.418800000000000E-003
           2           0 -3.708600000000000E-003
           2           1  2.023800000000000E-003
           2           2 -2.406900000000000E-004
           2           3  1.199200000000000E-003
           2           4  1.043300000000000E-004
           2           5  5.580100000000000E-004
           2           6 -3.137900000000000E-004
           2           8 -3.711600000000000E-005
           2           9  1.622900000000000E-005
           3          -7 -1.336600000000000E-005
           3          -6 -3.319700000000000E-005
           3          -5 -3.742300000000000E-005
           3          -4 -1.114700000000000E-004
           3          -3 -1.043000000000000E-004
           3          -2 -3.858300000000000E-004
           3          -1 -3.582300000000000E-004
           3           0  2.167400000000000E-004
           3           1  6.644900000000000E-004
           3           2 -2.770500000000000E-003
           3           3  1.232400000000000E-003
           3           4 -3.689500000000000E-004
           3           6  1.788300000000000E-004
           3           7 -2.767200000000000E-005
           3           8  2.411300000000000E-005
           3           9 -2.098400000000000E-005
           3          10  1.038500000000000E-005
           4          -5 -5.346600000000000E-005
           4          -4 -8.053799999999999E-005
           4          -1 -1.011900000000000E-004
           4           0  4.101500000000000E-004
           4           1  3.809200000000000E-004
           4           2  2.679500000000000E-004
           4           3  4.151200000000000E-004
           4           4 -1.246500000000000E-004
           4           5 -1.115900000000000E-004
           4           6 -6.628800000000000E-005
           4           9  1.134400000000000E-005
           4          10 -8.880200000000000E-006
           5          -5 -1.363800000000000E-005
           5          -4  1.208200000000000E-005
           5          -1 -5.367500000000000E-005
           5           0  6.773199999999999E-005
           5           1  1.958700000000000E-004
           5           2  2.412000000000000E-004
           5           3  1.370600000000000E-004
           5           4  1.032300000000000E-004
           5           5  6.267200000000000E-005
           5           6  5.204600000000000E-005
           6          -1 -2.896100000000000E-005
           6           0 -9.321499999999999E-005
           6           1  9.924099999999999E-005
           6           2  2.406200000000000E-004
           6           3  1.570700000000000E-004
           6           4  5.910200000000000E-005
           6           5 -2.080100000000000E-005
           6           6 -1.701200000000000E-005
           7           0 -1.510800000000000E-005
           7           1  2.197500000000000E-005
           7           2  4.678100000000000E-005
           7           3  9.345800000000000E-005
           7           4  5.806800000000000E-005
           7           5  5.168700000000000E-005
           8           0 -8.467100000000001E-006
           8           1 -2.374200000000000E-005
           8           2 -1.369900000000000E-005
           8           3  3.624700000000000E-005
           8           4  2.045400000000000E-005
           8           6  8.094899999999999E-006
