              nu/v [m^-1]	       E_r/v [kV s /m^2]	               N_theta	                 N_zeta	                   N_xi	                   D_11	                   D_31	                   D_13	                   D_33	           D_33_Spitzer	    Wall-clock time [s]	           CPU time [s]	     Delta  D_11	             Delta      D_31	          Delta         D_13	     Delta   D_33
1.0000000000E-05	0.0000000000E+00	2.7000000000E+01	1.7500000000E+02	2.0000000000E+01	4.9412505193E-01	4.5226568390E-02	-4.5226617853E-02	-2.1363847062E+04	-6.5481537728E+04	1.4033820000E+02	1.3988237400E+02	-4.3180407834E-02	7.3080482314E-02	-7.3080481629E-02	-6.0832726350E+03
1.0000000000E-05	0.0000000000E+00	2.7000000000E+01	1.7500000000E+02	4.0000000000E+01	4.5094464409E-01	1.1830705070E-01	-1.1830709948E-01	-2.7447119697E+04	-6.5481537728E+04	2.6984780000E+02	2.6906466200E+02	-8.5752339403E-03	-1.0416776444E-01	1.0416783963E-01	-1.9470834306E+03
1.0000000000E-05	0.0000000000E+00	2.7000000000E+01	1.7500000000E+02	6.0000000000E+01	4.4236941015E-01	1.4139286263E-02	-1.4139259848E-02	-2.9394203128E+04	-6.5481537728E+04	3.9971950000E+02	3.9856347400E+02	-4.0789865175E-03	8.1340963406E-03	-8.1341983260E-03	-8.6362685160E+02
1.0000000000E-05	0.0000000000E+00	2.7000000000E+01	1.7500000000E+02	8.0000000000E+01	4.3829042364E-01	2.2273382603E-02	-2.2273458174E-02	-3.0257829979E+04	-6.5481537728E+04	5.2941140000E+02	5.2787885500E+02	-2.5517552403E-03	2.7515980069E-02	-2.7517446151E-02	-4.5395901726E+02
1.0000000000E-05	0.0000000000E+00	2.7000000000E+01	1.7500000000E+02	1.0000000000E+02	4.3573866840E-01	4.9789362672E-02	-4.9790904325E-02	-3.0711788997E+04	-6.5481537728E+04	6.5901000000E+02	6.5710525700E+02	-1.6528964262E-03	1.1423033036E-02	-1.1423093089E-02	-2.6561589506E+02
1.0000000000E-05	0.0000000000E+00	2.7000000000E+01	1.7500000000E+02	1.2000000000E+02	4.3408577197E-01	6.1212395708E-02	-6.1213997414E-02	-3.0977404892E+04	-6.5481537728E+04	7.8869620000E+02	7.8641037000E+02	-1.0745094546E-03	3.3881243707E-03	-3.3879714065E-03	-1.6745285387E+02
1.0000000000E-05	0.0000000000E+00	2.7000000000E+01	1.7500000000E+02	1.4000000000E+02	4.3301126251E-01	6.4600520078E-02	-6.4601968820E-02	-3.1144857745E+04	-6.5481537728E+04	9.1815770000E+02	9.1549765800E+02	-7.1109769440E-04	7.4521248758E-04	-7.4439085272E-04	-1.1186362228E+02
1.0000000000E-05	0.0000000000E+00	2.7000000000E+01	1.7500000000E+02	1.6000000000E+02	4.3230016482E-01	6.5345732566E-02	-6.5346359673E-02	-3.1256721368E+04	-6.5481537728E+04	1.0482053000E+03	1.0451374740E+03	-4.9055982850E-04	3.2878934531E-04	-3.2382089963E-04	-7.8080170035E+01
1.0000000000E-05	0.0000000000E+00	2.7000000000E+01	1.7500000000E+02	1.8000000000E+02	4.3180960499E-01	6.5674521911E-02	-6.5670180573E-02	-3.1334801538E+04	-6.5481537728E+04	1.1775897000E+03	1.1741940440E+03	-3.5680464775E-04	3.7720405065E-04	-3.7466485271E-04	-5.5791530055E+01
1.0000000000E-05	0.0000000000E+00	2.7000000000E+01	1.7500000000E+02	2.0000000000E+02	4.3145280034E-01	6.6051725962E-02	-6.6044845425E-02	-3.1390593068E+04	-6.5481537728E+04	1.3076685000E+03	1.3038927940E+03	-2.6765671513E-04	4.8386868929E-04	-4.8340389473E-04	-4.0125336153E+01
1.0000000000E-05	0.0000000000E+00	2.7000000000E+01	1.7500000000E+02	2.2000000000E+02	4.3118514363E-01	6.6535594651E-02	-6.6528249320E-02	-3.1430718404E+04	-6.5481537728E+04	1.4373242000E+03	1.4331225630E+03	-2.0170955826E-04	4.0907630841E-04	-4.0661602092E-04	-2.9012761101E+01
1.0000000000E-05	0.0000000000E+00	2.7000000000E+01	1.7500000000E+02	2.4000000000E+02	4.3098343407E-01	6.6944670960E-02	-6.6934865341E-02	-3.1459731165E+04	-6.5481537728E+04	1.5672166000E+03	1.5626981150E+03	-1.5032111916E-04	2.6902770499E-04	-2.6421075574E-04	-2.1201384783E+01
1.0000000000E-05	0.0000000000E+00	2.7000000000E+01	1.7500000000E+02	2.6000000000E+02	4.3083311295E-01	6.7213698665E-02	-6.7199076097E-02	-3.1480932550E+04	-6.5481537728E+04	1.6966867000E+03	1.6917918900E+03	-1.1525705456E-04	1.5785441125E-04	-1.5269848016E-04	-1.5622551831E+01
1.0000000000E-05	0.0000000000E+00	2.7000000000E+01	1.7500000000E+02	2.8000000000E+02	4.3071785590E-01	6.7371553076E-02	-6.7351774577E-02	-3.1496555102E+04	-6.5481537728E+04	1.8257742000E+03	1.8204999390E+03	-8.1120366717E-05	1.8299987423E-04	-1.8236933186E-04	-1.1489663890E+01
1.0000000000E-05	0.0000000000E+00	2.7000000000E+01	1.7500000000E+02	3.0000000000E+02	4.3063673553E-01	6.7554552950E-02	-6.7534143909E-02	-3.1508044766E+04	-6.5481537728E+04	1.9548387000E+03	1.9491586750E+03	-5.1434366618E-05	1.9664449311E-04	-2.0028680927E-04	-8.2886330492E+00
1.0000000000E-05	0.0000000000E+00	2.7000000000E+01	1.7500000000E+02	3.2000000000E+02	4.3058530116E-01	6.7751197443E-02	-6.7734430718E-02	-3.1516333399E+04	-6.5481537728E+04	2.0854546000E+03	2.0794086760E+03	-3.3271256176E-05	1.2757536815E-04	-1.3490472421E-04	-6.5550928746E+00
1.0000000000E-05	0.0000000000E+00	2.7000000000E+01	1.7500000000E+02	3.4000000000E+02	4.3055202991E-01	6.7878772811E-02	-6.7869335442E-02	-3.1522888492E+04	-6.5481537728E+04	2.2150520000E+03	2.2086032350E+03	-2.0548087540E-05	2.8961197156E-05	-3.2493923460E-05	-4.9747560420E+00
1.0000000000E-05	0.0000000000E+00	2.7000000000E+01	1.7500000000E+02	3.6000000000E+02	4.3053148182E-01	6.7907734009E-02	-6.7901829366E-02	-3.1527863248E+04	-6.5481537728E+04	2.3452627000E+03	2.3384724210E+03	-1.2052676666E-05	-4.9864039907E-05	4.8866967632E-05	-4.2866747703E+00
1.0000000000E-05	0.0000000000E+00	2.7000000000E+01	1.7500000000E+02	3.8000000000E+02	4.3051942914E-01	6.7857869969E-02	-6.7852962398E-02	-3.1532149922E+04	-6.5481537728E+04	2.4750200000E+03	2.4678214100E+03	-6.6643399151E-06	2.6949253851E-05	-2.7778215907E-05	-1.6513550252E+00
1.0000000000E-05	0.0000000000E+00	2.7000000000E+01	1.7500000000E+02	4.0000000000E+02	4.3051276480E-01	6.7884819223E-02	-6.7880740614E-02	-3.1533801277E+04	-6.5481537728E+04	2.6049675000E+03	2.5973767400E+03	-3.6127304203E-06	1.4506933772E-05	-1.4050397012E-05	-9.0262575152E-01
1.0000000000E-05	0.0000000000E+00	2.7000000000E+01	1.7500000000E+02	4.2000000000E+02	4.3050915207E-01	6.7899326156E-02	-6.7894791011E-02	-3.1534703903E+04	-6.5481537728E+04	2.7345330000E+03	2.7266250280E+03	-1.9041996225E-06	1.1737501580E-06	-5.5584221001E-07	-4.9802235658E-01
1.0000000000E-05	0.0000000000E+00	2.7000000000E+01	1.7500000000E+02	4.4000000000E+02	4.3050724787E-01	6.7900499906E-02	-6.7895346853E-02	-3.1535201925E+04	-6.5481537728E+04	2.8647301000E+03	2.8563954600E+03	-1.0008746024E-06	-1.2855590584E-06	1.7371427407E-06	-2.8547600872E-01
1.0000000000E-05	0.0000000000E+00	2.7000000000E+01	1.7500000000E+02	4.6000000000E+02	4.3050624700E-01	6.7899214347E-02	-6.7893609711E-02	-3.1535487401E+04	-6.5481537728E+04	2.9934691000E+03	2.9847434430E+03	-4.9067390173E-07	-2.9317858266E-06	3.2305009500E-06	-1.6528252921E-01
1.0000000000E-05	0.0000000000E+00	2.7000000000E+01	1.7500000000E+02	4.8000000000E+02	4.3050575632E-01	6.7896282562E-02	-6.7890379210E-02	-3.1535652684E+04	-6.5481537728E+04	3.1247739000E+03	3.1156735960E+03	-2.3931051918E-07	-1.7758887945E-06	2.0077733682E-06	-8.2138667509E-02
