              nu/v [m^-1]	       E_r/v [kV s /m^2]	               N_theta	                 N_zeta	                   N_xi	                   D_11	                   D_31	                   D_13	                   D_33	           D_33_Spitzer	    Wall-clock time [s]	           CPU time [s]	Delta D11	Delta D31	Delta D13 	Delta D33
1.0000000000E-05	0.0000000000E+00	4.7000000000E+01	1.5300000000E+02	2.0000000000E+01	4.9412505173E-01	4.5226530759E-02	-4.5226725863E-02	-2.1363847159E+04	-6.5481537728E+04	5.6361600000E+01	7.3190861600E+02	-4.3180406394E-02	7.3080519456E-02	-7.3080313554E-02	-6.0832726772E+03
1.0000000000E-05	0.0000000000E+00	4.7000000000E+01	1.5300000000E+02	4.0000000000E+01	4.5094464533E-01	1.1830705021E-01	-1.1830703942E-01	-2.7447119836E+04	-6.5481537728E+04	1.0768080000E+02	1.4108243270E+03	-8.5752232877E-03	-1.0416722378E-01	1.0416720505E-01	-1.9470835489E+03
1.0000000000E-05	0.0000000000E+00	4.7000000000E+01	1.5300000000E+02	6.0000000000E+01	4.4236942205E-01	1.4139826439E-02	-1.4139834368E-02	-2.9394203385E+04	-6.5481537728E+04	1.5893370000E+02	2.0880503610E+03	-4.0789812755E-03	8.1388981797E-03	-8.1388893064E-03	-8.6362679778E+02
1.0000000000E-05	0.0000000000E+00	4.7000000000E+01	1.5300000000E+02	8.0000000000E+01	4.3829044077E-01	2.2278724618E-02	-2.2278723674E-02	-3.0257830183E+04	-6.5481537728E+04	2.1043580000E+02	2.7683862110E+03	-2.5518560818E-03	2.7536580837E-02	-2.7536568299E-02	-4.5396324141E+02
1.0000000000E-05	0.0000000000E+00	4.7000000000E+01	1.5300000000E+02	1.0000000000E+02	4.3573858469E-01	4.9815305455E-02	-4.9815291973E-02	-3.0711793424E+04	-6.5481537728E+04	2.6171490000E+02	3.4453175500E+03	-1.6535269679E-03	1.1474133559E-02	-1.1474157473E-02	-2.6563125596E+02
1.0000000000E-05	0.0000000000E+00	4.7000000000E+01	1.5300000000E+02	1.2000000000E+02	4.3408505772E-01	6.1289439014E-02	-6.1289449446E-02	-3.0977424680E+04	-6.5481537728E+04	3.1268890000E+02	4.1159723760E+03	-1.0748243298E-03	3.3886565799E-03	-3.3886443720E-03	-1.6748932852E+02
1.0000000000E-05	0.0000000000E+00	4.7000000000E+01	1.5300000000E+02	1.4000000000E+02	4.3301023339E-01	6.4678095594E-02	-6.4678093818E-02	-3.1144914009E+04	-6.5481537728E+04	3.6443580000E+02	4.8026912030E+03	-7.1256219700E-04	5.1977349153E-04	-5.1977664837E-04	-1.1193851227E+02
1.0000000000E-05	0.0000000000E+00	4.7000000000E+01	1.5300000000E+02	1.6000000000E+02	4.3229767119E-01	6.5197869085E-02	-6.5197870466E-02	-3.1256852521E+04	-6.5481537728E+04	4.1558540000E+02	5.4761764810E+03	-4.9121942400E-04	1.2097341755E-06	-1.2171018133E-06	-7.8205202101E+01
1.0000000000E-05	0.0000000000E+00	4.7000000000E+01	1.5300000000E+02	1.8000000000E+02	4.3180645177E-01	6.5199078819E-02	-6.5199087568E-02	-3.1335057723E+04	-6.5481537728E+04	4.6654670000E+02	6.1471503290E+03	-3.5817205936E-04	2.1540260693E-04	-2.1541066034E-04	-5.5942273961E+01
1.0000000000E-05	0.0000000000E+00	4.7000000000E+01	1.5300000000E+02	2.0000000000E+02	4.3144827971E-01	6.5414481426E-02	-6.5414498228E-02	-3.1390999997E+04	-6.5481537728E+04	5.1765840000E+02	6.8227222000E+03	-2.7513279717E-04	4.6491704470E-04	-4.6489434919E-04	-4.0259690104E+01
1.0000000000E-05	0.0000000000E+00	4.7000000000E+01	1.5300000000E+02	2.2000000000E+02	4.3117314691E-01	6.5879398471E-02	-6.5879392578E-02	-3.1431259687E+04	-6.5481537728E+04	5.6976730000E+02	7.5138456670E+03	-2.0587407496E-04	4.6491376779E-04	-4.6489262213E-04	-2.9094269430E+01
1.0000000000E-05	0.0000000000E+00	4.7000000000E+01	1.5300000000E+02	2.4000000000E+02	4.3096727284E-01	6.6344312239E-02	-6.6344285200E-02	-3.1460353957E+04	-6.5481537728E+04	6.2202830000E+02	8.2052134820E+03	-1.4809968045E-04	3.3553094719E-04	-3.3546911819E-04	-2.1307145841E+01
1.0000000000E-05	0.0000000000E+00	4.7000000000E+01	1.5300000000E+02	2.6000000000E+02	4.3081917316E-01	6.6679843186E-02	-6.6679754318E-02	-3.1481661102E+04	-6.5481537728E+04	6.7118700000E+02	8.8526983680E+03	-1.0144111785E-04	2.2491308950E-04	-2.2452794712E-04	-1.6101477897E+01
1.0000000000E-05	0.0000000000E+00	4.7000000000E+01	1.5300000000E+02	2.8000000000E+02	4.3071773204E-01	6.6904756276E-02	-6.6904282265E-02	-3.1497762580E+04	-6.5481537728E+04	7.2225300000E+02	9.5259907130E+03	-6.7467436650E-05	1.3593436078E-04	-1.3708676170E-04	-1.2021249522E+01
1.0000000000E-05	0.0000000000E+00	4.7000000000E+01	1.5300000000E+02	3.0000000000E+02	4.3065026460E-01	6.7040690636E-02	-6.7041369027E-02	-3.1509783830E+04	-6.5481537728E+04	7.7400820000E+02	1.0207368580E+04	-4.3937235693E-05	2.8429979798E-05	-3.0318061595E-05	-7.7720454524E+00
1.0000000000E-05	0.0000000000E+00	4.7000000000E+01	1.5300000000E+02	3.2000000000E+02	4.3060632737E-01	6.7069120616E-02	-6.7071687088E-02	-3.1517555875E+04	-6.5481537728E+04	8.2493820000E+02	1.0888970485E+04	-2.6719383668E-05	5.8791907793E-05	-5.9412326364E-05	-5.6159819645E+00
1.0000000000E-05	0.0000000000E+00	4.7000000000E+01	1.5300000000E+02	3.4000000000E+02	4.3057960799E-01	6.7127912524E-02	-6.7131099415E-02	-3.1523171857E+04	-6.5481537728E+04	8.7678010000E+02	1.1562285084E+04	-1.5772281949E-05	4.5702480101E-05	-4.5142459077E-05	-3.1309923979E+00
1.0000000000E-05	0.0000000000E+00	4.7000000000E+01	1.5300000000E+02	3.6000000000E+02	4.3056383570E-01	6.7173615004E-02	-6.7176241874E-02	-3.1526302850E+04	-6.5481537728E+04	9.2862670000E+02	1.2252688778E+04	-9.0987963086E-06	3.6365385046E-05	-3.6460071228E-05	-1.7803771861E+00
1.0000000000E-05	0.0000000000E+00	4.7000000000E+01	1.5300000000E+02	3.8000000000E+02	4.3055473691E-01	6.7209980389E-02	-6.7212701945E-02	-3.1528083227E+04	-6.5481537728E+04	9.8108750000E+02	1.2918161584E+04	-5.0940356280E-06	1.8134735404E-05	-1.8614318454E-05	-1.0572187970E+00
1.0000000000E-05	0.0000000000E+00	4.7000000000E+01	1.5300000000E+02	4.0000000000E+02	4.3054964287E-01	6.7228115124E-02	-6.7231316263E-02	-3.1529140446E+04	-6.5481537728E+04	1.0324652000E+03	1.3593216012E+04	-2.7569990114E-06	9.7892563654E-06	-1.0065432411E-05	-5.6494265716E-01
1.0000000000E-05	0.0000000000E+00	4.7000000000E+01	1.5300000000E+02	4.2000000000E+02	4.3054688587E-01	6.7237904381E-02	-6.7241381696E-02	-3.1529705388E+04	-6.5481537728E+04	1.0844196000E+03	1.4290614869E+04	-1.4575751862E-06	3.7522419444E-06	-3.7124592484E-06	-3.0684095820E-01
1.0000000000E-05	0.0000000000E+00	4.7000000000E+01	1.5300000000E+02	4.4000000000E+02	4.3054542830E-01	6.7241656623E-02	-6.7245094155E-02	-3.1530012229E+04	-6.5481537728E+04	1.1417227000E+03	1.4998267066E+04	-7.3051230437E-07	5.1599737981E-07	-4.1719667643E-07	-1.6113068352E-01
1.0000000000E-05	0.0000000000E+00	4.7000000000E+01	1.5300000000E+02	4.6000000000E+02	4.3054469778E-01	6.7242172620E-02	-6.7245511352E-02	-3.1530173360E+04	-6.5481537728E+04	1.1866580000E+03	1.5651904597E+04	-3.3482981332E-07	6.7491963646E-07	-6.0565975411E-07	-6.9596477118E-02
1.0000000000E-05	0.0000000000E+00	4.7000000000E+01	1.5300000000E+02	4.8000000000E+02	4.3054436295E-01	6.7242847540E-02	-6.7246117012E-02	-3.1530242956E+04	-6.5481537728E+04	1.2395680000E+03	1.6328853520E+04	-1.3925074122E-07	4.8847973097E-07	-4.6190400900E-07	-2.5239888892E-02
1.0000000000E-05	0.0000000000E+00	4.7000000000E+01	1.5300000000E+02	5.0000000000E+02	4.3054422370E-01	6.7243336020E-02	-6.7246578916E-02	-3.1530268196E+04	-6.5481537728E+04	1.2904534000E+03	1.7013503390E+04	-5.5246199282E-08	3.1663192281E-07	-3.1134271566E-07	-8.0588153105E-03
