              nu/v [m^-1]        E_r/v [kV s /m^2]                 N_theta                   N_zeta                     N_xi                     D_11                     D_31                     D_13                     D_33             D_33_Spitzer      Wall-clock time [s]             CPU time [s] 
   0.1000000000000000E-05   0.0000000000000000E+00   0.1900000000000000E+02   0.7900000000000000E+02   0.1800000000000000E+03   0.4305069134377976E+01   0.3222941214593040E+00  -0.3293075325522737E+00  -0.3018736082170475E+06  -0.6548153772849194E+06   0.4855560000000000E+02   0.4821987100000000E+02
   0.3000000000000000E-05   0.0000000000000000E+00   0.1900000000000000E+02   0.7900000000000000E+02   0.1800000000000000E+03   0.1435442499281167E+01   0.1989889432837981E+00  -0.2023220451564741E+00  -0.1022872132045988E+06  -0.2182717924283065E+06   0.4736560000000000E+02   0.4708525300000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.7900000000000000E+02   0.1800000000000000E+03   0.4315028380893359E+00   0.8243410568004175E-01  -0.8315150895338480E-01  -0.3133274590670880E+05  -0.6548153772849185E+05   0.4712370000000000E+02   0.4684486500000000E+02
   0.1635430285249606E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.7900000000000000E+02   0.1800000000000000E+03   0.2644354490328246E+00   0.5118728041957962E-01  -0.5145207982613531E-01  -0.1935195119593573E+05  -0.4003933296276081E+05   0.4711350000000000E+02   0.4683413200000001E+02
   0.2674632217911607E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.7900000000000000E+02   0.1800000000000000E+03   0.1622649520531594E+00   0.2491113927846510E-01  -0.2497957563228287E-01  -0.1196362513762138E+05  -0.2448244558260084E+05   0.4708050000000000E+02   0.4680333199999998E+02
   0.4374174531076974E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.7900000000000000E+02   0.1800000000000000E+03   0.9971461463705990E-01  -0.2848686565421011E-02   0.2837445524655359E-02  -0.7404456072872222E+04  -0.1497003314871608E+05   0.4703970000000000E+02   0.4675994000000000E+02
   0.7153657501090776E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.7900000000000000E+02   0.1800000000000000E+03   0.6136711685313438E-01  -0.3430541495214192E-01   0.3430443093273865E-01  -0.4590575289788924E+04  -0.9153574618089751E+04   0.4700310000000000E+02   0.4672301900000002E+02
   0.1169930812758687E-03   0.0000000000000000E+00   0.1900000000000000E+02   0.7900000000000000E+02   0.1800000000000000E+03   0.3783122412294435E-01  -0.6001331124080074E-01   0.6001333193670704E-01  -0.2853443180804853E+04  -0.5597043604150143E+04   0.4701580000000000E+02   0.4673518400000000E+02
   0.1913340282832243E-03   0.0000000000000000E+00   0.1900000000000000E+02   0.7900000000000000E+02   0.1800000000000000E+03   0.2338028014986880E-01  -0.7055386523125037E-01   0.7055389642060338E-01  -0.1779910872555143E+04  -0.3422367590126837E+04   0.4702100000000000E+02   0.4674095000000000E+02
   0.3129134644531899E-03   0.0000000000000000E+00   0.1900000000000000E+02   0.7900000000000000E+02   0.1800000000000000E+03   0.1451534788693261E-01  -0.6635745971992600E-01   0.6635747008665320E-01  -0.1115169060082856E+04  -0.2092640463487872E+04   0.4700060000000000E+02   0.4672160600000001E+02
   0.5117481564291227E-03   0.0000000000000000E+00   0.1900000000000000E+02   0.7900000000000000E+02   0.1800000000000000E+03   0.9095941964224847E-02  -0.5434718613577498E-01   0.5434718982891218E-01  -0.7022087589063595E+03  -0.1279565679052156E+04   0.4700150000000000E+02   0.4672115699999995E+02
   0.8369284334448408E-03   0.0000000000000000E+00   0.1900000000000000E+02   0.7900000000000000E+02   0.1800000000000000E+03   0.5812653723906587E-02  -0.4130058697237626E-01   0.4130058810377898E-01  -0.4444782670514158E+03  -0.7824030718966794E+03   0.4700330000000000E+02   0.4672338400000001E+02
   0.1368738106642202E-02   0.0000000000000000E+00   0.1900000000000000E+02   0.7900000000000000E+02   0.1800000000000000E+03   0.3865409202577914E-02  -0.3086660781843371E-01   0.3086660810702730E-01  -0.2827985133736156E+03  -0.4784080855988710E+03   0.4700020000000000E+02   0.4672059000000002E+02
   0.2238475752177861E-02   0.0000000000000000E+00   0.1900000000000000E+02   0.7900000000000000E+02   0.1800000000000000E+03   0.2767805937859352E-02  -0.2390174045411492E-01   0.2390174051559708E-01  -0.1808777992158031E+03  -0.2925273488657786E+03   0.4698620000000000E+02   0.4670683999999994E+02
   0.3660871037908570E-02   0.0000000000000000E+00   0.1900000000000000E+02   0.7900000000000000E+02   0.1800000000000000E+03   0.2228117050160356E-02  -0.1979575167557256E-01   0.1979575167490406E-01  -0.1163343033638958E+03  -0.1788687365668612E+03   0.4698890000000000E+02   0.4670900699999993E+02
   0.5987099365788832E-02   0.0000000000000000E+00   0.1900000000000000E+02   0.7900000000000000E+02   0.1800000000000000E+03   0.2075134910573283E-02  -0.1750506658240583E-01   0.1750506656915963E-01  -0.7528536859661095E+02  -0.1093710555442975E+03   0.4698680000000000E+02   0.4670626099999993E+02
   0.9791483623609773E-02   0.0000000000000000E+00   0.1900000000000000E+02   0.7900000000000000E+02   0.1800000000000000E+03   0.2209055629210274E-02  -0.1623956296995616E-01   0.1623956295880112E-01  -0.4907000670201379E+02  -0.6687601209953435E+02   0.4699080000000000E+02   0.4671106299999997E+02
   0.1601328885557698E-01   0.0000000000000000E+00   0.1900000000000000E+02   0.7900000000000000E+02   0.1800000000000000E+03   0.2566020235904750E-02  -0.1514150371964545E-01   0.1514150371232671E-01  -0.3217776091483297E+02  -0.4089199808925358E+02   0.4699610000000000E+02   0.4671670799999993E+02
   0.2618861756086058E-01   0.0000000000000000E+00   0.1900000000000000E+02   0.7900000000000000E+02   0.1800000000000000E+03   0.3103046085617486E-02  -0.1319465874326297E-01   0.1319465873876547E-01  -0.2108019351236057E+02  -0.2500381609541522E+02   0.4700910000000000E+02   0.4672984299999996E+02
   0.4282965828785110E-01   0.0000000000000000E+00   0.1900000000000000E+02   0.7900000000000000E+02   0.1800000000000000E+03   0.3850678991616627E-02  -0.1011440602245729E-01   0.1011440601971347E-01  -0.1366719654708003E+02  -0.1528883029801482E+02   0.4699860000000000E+02   0.4671798899999999E+02
   0.7004492027084348E-01   0.0000000000000000E+00   0.1900000000000000E+02   0.7900000000000000E+02   0.1800000000000000E+03   0.4975622991292758E-02  -0.6703741771987437E-02   0.6703741770347917E-02  -0.8729621834919639E+01  -0.9348506283581127E+01   0.4699230000000000E+02   0.4671216900000002E+02
   0.1145535839388316E+00   0.0000000000000000E+00   0.1900000000000000E+02   0.7900000000000000E+02   0.1800000000000000E+03   0.6763647570571070E-02  -0.3792071854507151E-02   0.3792071853603315E-02  -0.5501109788989532E+01  -0.5716236496228454E+01   0.4699580000000000E+02   0.4671592199999998E+02
   0.1873444004574480E+00   0.0000000000000000E+00   0.1900000000000000E+02   0.7900000000000000E+02   0.1800000000000000E+03   0.9736204871270429E-02  -0.1814261216665743E-02   0.1814261216234144E-02  -0.3429745587908541E+01  -0.3495249261179011E+01   0.4699060000000000E+02   0.4671120099999985E+02
   0.3063887062800405E+00   0.0000000000000000E+00   0.1900000000000000E+02   0.7900000000000000E+02   0.1800000000000000E+03   0.1483123678214887E-01  -0.7640939141712690E-03   0.7640939139917570E-03  -0.2119709780517748E+01  -0.2137204681057714E+01   0.4699220000000000E+02   0.4671271300000012E+02
   0.5010773693088243E+00   0.0000000000000000E+00   0.1900000000000000E+02   0.7900000000000000E+02   0.1800000000000000E+03   0.2347913657389173E-01  -0.3000728373259823E-03   0.3000728372571783E-03  -0.1302516111221246E+01  -0.1306814910017106E+01   0.4699400000000000E+02   0.4671385099999998E+02
   0.8194771050208541E+00   0.0000000000000000E+00   0.1900000000000000E+02   0.7900000000000000E+02   0.1800000000000000E+03   0.3789121214957714E-01  -0.1141299240472361E-03   0.1141299240212818E-03  -0.7980497149419995E+00  -0.7990648832931766E+00   0.4699870000000000E+02   0.4671905199999992E+02
   0.1340197675619777E+01   0.0000000000000000E+00   0.1900000000000000E+02   0.7900000000000000E+02   0.1800000000000000E+03   0.6164947885490583E-01  -0.4284811100050019E-04   0.4284811099042532E-04  -0.4883603882581249E+00  -0.4885961147351628E+00   0.4699800000000000E+02   0.4671748699999989E+02
   0.2191799866929710E+01   0.0000000000000000E+00   0.1900000000000000E+02   0.7900000000000000E+02   0.1800000000000000E+03   0.1006260441205185E+00  -0.1602414663287352E-04   0.1602414662887515E-04  -0.2987026110870585E+00  -0.2987569199017193E+00   0.4698820000000000E+02   0.4670816100000002E+02
   0.3584535881582904E+01   0.0000000000000000E+00   0.1900000000000000E+02   0.7900000000000000E+02   0.1800000000000000E+03   0.1644455552217193E+00  -0.5989361846447674E-05   0.5989361844642189E-05  -0.1826654092889227E+00  -0.1826778693022198E+00   0.4699780000000000E+02   0.4671715699999982E+02
   0.5862258539304575E+01   0.0000000000000000E+00   0.1900000000000000E+02   0.7900000000000000E+02   0.1800000000000000E+03   0.2688648921847249E+00  -0.2238895473483613E-05   0.2238895472466965E-05  -0.1116973346127245E+00  -0.1117001873756660E+00   0.4699420000000000E+02   0.4671417599999995E+02
   0.9587315155141839E+01   0.0000000000000000E+00   0.1900000000000000E+02   0.7900000000000000E+02   0.1800000000000000E+03   0.4396642858889355E+00  -0.8370152396522904E-06   0.8370152389404400E-06  -0.6829953019941239E-01  -0.6830018276114885E-01   0.4699940000000000E+02   0.4672014500000000E+02
   0.1567938555895148E+02   0.0000000000000000E+00   0.1900000000000000E+02   0.7900000000000000E+02   0.1800000000000000E+03   0.7190124567976560E+00  -0.3129355359680201E-06   0.3129355354179480E-06  -0.4176267208781300E-01  -0.4176282130590765E-01   0.4699860000000000E+02   0.4671807699999999E+02
