  *** Flux-surface parameters 
      s =   0.250000000000000     
      Number of periods =            4
      psi_p =  -0.203000000000000     
      chi_p =   0.175300000000000     
      iota =  -0.863546798029557     
      B00 =    5.43500000000000     
      B_theta =   0.000000000000000E+000
      B_zeta =   -11.1021000000000     
 
  *** Stellarator parameters 
      Minor_Radius =   3.735050597976081E-002
      Major_Radius =    2.04270469181233     
 
  *** Magnetic field strength Fourier modes 
  m, n, B_mn 
           0           0   5.43500000000000     
           0           1   1.25380000000000     
           0           2  0.221640000000000     
           0           3  1.602800000000000E-003
           0           4  1.953700000000000E-002
           0           5  1.177300000000000E-002
           0           6 -1.533500000000000E-003
           0           7 -5.163300000000000E-003
           0           8 -1.288200000000000E-003
           1          -9 -4.927200000000000E-004
           1          -7 -2.956800000000000E-003
           1          -6 -7.173300000000000E-003
           1          -5 -4.043300000000000E-003
           1          -4 -3.565500000000000E-004
           1          -3 -2.208200000000000E-003
           1          -2  1.273300000000000E-002
           1          -1  3.765200000000000E-002
           1           0 -4.079600000000000E-002
           1           1 -8.597399999999999E-002
           1           2 -2.162900000000000E-002
           1           3 -4.846600000000000E-003
           1           4 -3.702600000000000E-004
           1           5  3.049300000000000E-003
           1           6  3.217300000000000E-003
           1           7  3.611700000000000E-003
           1           8  1.647900000000000E-003
           2          -9 -2.635700000000000E-004
           2          -8 -3.234900000000000E-004
           2          -7 -6.747000000000000E-004
           2          -6 -1.001400000000000E-003
           2          -4  1.091200000000000E-003
           2          -3 -7.119500000000000E-004
           2          -2 -1.355600000000000E-003
           2          -1  3.851700000000000E-004
           2           0 -2.926100000000000E-003
           2           1 -1.967700000000000E-003
           2           2 -2.789900000000000E-004
           2           3  3.128100000000000E-004
           2           4 -4.776100000000000E-004
           2           5  2.216600000000000E-004
           2           7 -2.465000000000000E-004
           2           8 -3.898200000000000E-004
           2           9 -2.302000000000000E-004
           3          -6 -3.460400000000000E-004
           3          -5 -2.463500000000000E-004
           3          -3 -2.101100000000000E-004
           3          -2 -3.142100000000000E-004
           3           2 -5.555700000000000E-004
           3           4  2.453500000000000E-004
           3           5  3.133600000000000E-004
