              nu/v [m^-1]        E_r/v [kV s /m^2]                 N_theta                   N_zeta                     N_xi                     D_11                     D_31                     D_13                     D_33             D_33_Spitzer      Wall-clock time [s]             CPU time [s] 
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.6500000000000000E+02   0.2200000000000000E+03   0.3032445826988980E-01  -0.4817812805585485E-01   0.4763362442634073E-01  -0.1905579116832439E+05  -0.6162655171808397E+05   0.1751450000000000E+02   0.1731603700000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.7100000000000000E+02   0.2200000000000000E+03   0.3028074436625349E-01  -0.2843268537208279E-01   0.2800764515500119E-01  -0.1905604501204248E+05  -0.6162655171808405E+05   0.2160950000000000E+02   0.2142603400000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.7500000000000000E+02   0.2200000000000000E+03   0.3024762778924897E-01  -0.2210994632376682E-01   0.2182974426603041E-01  -0.1905797242857426E+05  -0.6162655171808398E+05   0.2493810000000000E+02   0.2473498300000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.8100000000000000E+02   0.2200000000000000E+03   0.3021035119576601E-01  -0.1901950491266960E-01   0.1900173917044187E-01  -0.1906238583205348E+05  -0.6162655171808397E+05   0.3171320000000000E+02   0.3147864200000001E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.8500000000000000E+02   0.2200000000000000E+03   0.3020512984656861E-01  -0.1925333617579142E-01   0.1942361553593261E-01  -0.1906298731228204E+05  -0.6162655171808403E+05   0.3585980000000000E+02   0.3560358699999999E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.9100000000000000E+02   0.2200000000000000E+03   0.3023693911115951E-01  -0.1779333252990327E-01   0.1792400321535629E-01  -0.1904321934083748E+05  -0.6162655171808404E+05   0.4359480000000000E+02   0.4330068599999998E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.9500000000000000E+02   0.2200000000000000E+03   0.3027312991109029E-01  -0.1578495085471928E-01   0.1567538541325750E-01  -0.1901443761129568E+05  -0.6162655171808395E+05   0.4915480000000000E+02   0.4883540099999999E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1010000000000000E+03   0.2200000000000000E+03   0.3032525977086049E-01  -0.1395724504292750E-01   0.1373437009688300E-01  -0.1899764202136296E+05  -0.6162655171808396E+05   0.5773560000000000E+02   0.5738415300000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1110000000000000E+03   0.2200000000000000E+03   0.3039261433369889E-01  -0.1207849612055611E-01   0.1182162933381139E-01  -0.1896427489966861E+05  -0.6162655171808403E+05   0.7744920000000000E+02   0.7702153699999997E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1210000000000000E+03   0.2200000000000000E+03   0.3043154010983587E-01  -0.1146383110774851E-01   0.1146554120446292E-01  -0.1895304884187819E+05  -0.6162655171808395E+05   0.1004988000000000E+03   0.1000058550000000E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1310000000000000E+03   0.2200000000000000E+03   0.3045562822875626E-01  -0.1051628956594552E-01   0.1055130035666131E-01  -0.1894849073217911E+05  -0.6162655171808405E+05   0.1279416000000000E+03   0.1273657410000000E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1410000000000000E+03   0.2200000000000000E+03   0.3047548988502114E-01  -0.9561080434138270E-02   0.9589699168512416E-02  -0.1894494182391599E+05  -0.6162655171808409E+05   0.1508919000000000E+03   0.1502459259999999E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1510000000000000E+03   0.2200000000000000E+03   0.3049701437322483E-01  -0.8713057961863460E-02   0.8733220897269930E-02  -0.1894082692049901E+05  -0.6162655171808397E+05   0.1857113000000000E+03   0.1849690690000000E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1610000000000000E+03   0.2200000000000000E+03   0.3053273756407018E-01  -0.8718565793656954E-02   0.8737295306702874E-02  -0.1893559578992216E+05  -0.6162655171808396E+05   0.2272968000000000E+03   0.2264256750000000E+03
