              nu/v [m^-1]        E_r/v [kV s /m^2]                 N_theta                   N_zeta                     N_xi                     D_11                     D_31                     D_13                     D_33             D_33_Spitzer      Wall-clock time [s]             CPU time [s] 
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.9900000000000000E+02   0.2000000000000000E+02   0.7624827515502368E-01   0.2557997872586445E-01  -0.2558888716562483E-01  -0.8731879015992174E+04  -0.6148412804544884E+05   0.1172760000000000E+02   0.1162832600000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.9900000000000000E+02   0.4000000000000000E+02   0.5749963288752994E-01   0.2426667835719021E+00  -0.2426671595641037E+00  -0.1409334211545488E+05  -0.6148412804544884E+05   0.2089120000000000E+02   0.2079374100000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.9900000000000000E+02   0.6000000000000000E+02   0.5407860732602893E-01   0.2285459191434009E+00  -0.2285457915787243E+00  -0.1590060717904083E+05  -0.6148412804544884E+05   0.3098720000000000E+02   0.3084335200000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.9900000000000000E+02   0.8000000000000000E+02   0.5256871634015967E-01   0.1611213107131024E+00  -0.1611222873870739E+00  -0.1673462021874586E+05  -0.6148412804544884E+05   0.4104620000000000E+02   0.4085569400000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.9900000000000000E+02   0.1000000000000000E+03   0.5166960713940053E-01   0.1087320780664841E+00  -0.1087322567946011E+00  -0.1719063894467154E+05  -0.6148412804544884E+05   0.5107410000000000E+02   0.5083577200000001E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.9900000000000000E+02   0.1200000000000000E+03   0.5104343380157061E-01   0.8132328287312590E-01  -0.8139388775338538E-01  -0.1748226482011432E+05  -0.6148412804544884E+05   0.6114930000000000E+02   0.6086339599999999E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.9900000000000000E+02   0.1400000000000000E+03   0.5050950036140504E-01   0.7528052779716912E-01  -0.7534567644747613E-01  -0.1766177407939286E+05  -0.6148412804544884E+05   0.7121050000000000E+02   0.7087751100000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.9900000000000000E+02   0.1600000000000000E+03   0.5007444028508649E-01   0.8175494940988583E-01  -0.8179873823770918E-01  -0.1777290182719581E+05  -0.6148412804544884E+05   0.8128030000000000E+02   0.8089816400000001E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.9900000000000000E+02   0.1800000000000000E+03   0.4979759587312389E-01   0.8776602728162641E-01  -0.8763067204014165E-01  -0.1785183751238313E+05  -0.6148412804544884E+05   0.9130570000000000E+02   0.9087667299999998E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.9900000000000000E+02   0.2000000000000000E+03   0.4957670737825470E-01   0.8876977570243703E-01  -0.8860074324062635E-01  -0.1792540216052310E+05  -0.6148412804544884E+05   0.1012874000000000E+03   0.1008118000000000E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.9900000000000000E+02   0.2200000000000000E+03   0.4935645537310923E-01   0.8346588558533657E-01  -0.8341408954687528E-01  -0.1800518777925193E+05  -0.6148412804544884E+05   0.1113426000000000E+03   0.1108179780000000E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.9900000000000000E+02   0.2400000000000000E+03   0.4919911145665537E-01   0.8148343964428305E-01  -0.8098361448039672E-01  -0.1805554179146206E+05  -0.6148412804544884E+05   0.1213693000000000E+03   0.1207979190000001E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.1900000000000000E+02   0.9900000000000000E+02   0.2600000000000000E+03   0.4907251463558616E-01   0.8132935621313690E-01  -0.8095512169499761E-01  -0.1808353308080931E+05  -0.6148412804544884E+05   0.1313851000000000E+03   0.1307667650000001E+03
