nu/v [m^-1]	E_r/v [kV s/m^2]	N_theta	N_zeta	N_xi	D_11	D_31	D_13	D_33	D_33_Spitzer	Wall-clock time [s]	CPU time [s]	Delta D_11	Delta D_31	Delta D_13	Delta D_33
1.0000000000E-05	0.0000000000E+00	2.7000000000E+01	1.7500000000E+02	2.0000000000E+01	7.6248284845E-02	2.5583528243E-02	-2.5585849328E-02	-8.7318790161E+03	-6.1484128045E+04	1.4295580000E+02	1.4248718000E+02	-1.8748615887E-02	2.1708370232E-01	-2.1708097619E-01	-5.3614626720E+03
1.0000000000E-05	0.0000000000E+00	2.7000000000E+01	1.7500000000E+02	4.0000000000E+01	5.7499668958E-02	2.4266723056E-01	-2.4266682552E-01	-1.4093341688E+04	-6.1484128045E+04	2.7518140000E+02	2.7438742800E+02	-3.4210130972E-03	-1.4122510245E-02	1.4122539077E-02	-1.8072671591E+03
1.0000000000E-05	0.0000000000E+00	2.7000000000E+01	1.7500000000E+02	6.0000000000E+01	5.4078655861E-02	2.2854472032E-01	-2.2854428644E-01	-1.5900608847E+04	-6.1484128045E+04	4.0758350000E+02	4.0640595100E+02	-1.5100668843E-03	-6.7419153528E-02	6.7418389310E-02	-8.3400823562E+02
1.0000000000E-05	0.0000000000E+00	2.7000000000E+01	1.7500000000E+02	8.0000000000E+01	5.2568588976E-02	1.6112556679E-01	-1.6112589713E-01	-1.6734617083E+04	-6.1484128045E+04	5.3999770000E+02	5.3843609800E+02	-8.9870491035E-04	-5.2673344891E-02	5.2673760802E-02	-4.5478458179E+02
1.0000000000E-05	0.0000000000E+00	2.7000000000E+01	1.7500000000E+02	1.0000000000E+02	5.1669884066E-02	1.0845222190E-01	-1.0845213633E-01	-1.7189401665E+04	-6.1484128045E+04	6.7236910000E+02	6.7041658400E+02	-6.0543281195E-04	-2.4784571591E-02	2.4784601257E-02	-2.7331719019E+02
1.0000000000E-05	0.0000000000E+00	2.7000000000E+01	1.7500000000E+02	1.2000000000E+02	5.1064451254E-02	8.3667650307E-02	-8.3667535076E-02	-1.7462718855E+04	-6.1484128045E+04	8.0456760000E+02	8.0222997300E+02	-4.2925661190E-04	-4.4649133215E-03	4.4644646520E-03	-1.7590528822E+02
1.0000000000E-05	0.0000000000E+00	2.7000000000E+01	1.7500000000E+02	1.4000000000E+02	5.0635194642E-02	7.9202736986E-02	-7.9203070424E-02	-1.7638624143E+04	-6.1484128045E+04	9.3715700000E+02	9.3444226800E+02	-3.1160409391E-04	4.3686092424E-03	-4.3694974694E-03	-1.1993538527E+02
1.0000000000E-05	0.0000000000E+00	2.7000000000E+01	1.7500000000E+02	1.6000000000E+02	5.0323590548E-02	8.3571346228E-02	-8.3572567893E-02	-1.7758559528E+04	-6.1484128045E+04	1.0691041000E+03	1.0659569630E+03	-2.3136233716E-04	5.1645375839E-03	-5.1630049447E-03	-8.6271176313E+01
1.0000000000E-05	0.0000000000E+00	2.7000000000E+01	1.7500000000E+02	1.8000000000E+02	5.0092228211E-02	8.8735883812E-02	-8.8735572838E-02	-1.7844830705E+04	-6.1484128045E+04	1.2010142000E+03	1.1975219940E+03	-1.8095820445E-04	2.5265693449E-03	-2.5341631636E-03	-6.9285080416E+01
1.0000000000E-05	0.0000000000E+00	2.7000000000E+01	1.7500000000E+02	2.0000000000E+02	4.9911270007E-02	9.1262453157E-02	-9.1269736001E-02	-1.7914115785E+04	-6.1484128045E+04	1.3326464000E+03	1.3288023670E+03	-1.4938816197E-04	-7.3975576237E-04	7.4530042561E-04	-5.4312936895E+01
