  *** Flux-surface parameters 
      s =   0.250000000000000     
      Number of periods =            4
      psi_p =  -0.467400000000000     
      chi_p =   0.409100000000000     
      iota =  -0.875267436884895     
      B00 =    5.47140000000000     
      B_theta =   0.000000000000000E+000
      B_zeta =   -11.1346000000000     
      B00/(B_zeta+iota*B_theta) =  -0.491387207443464     
  *** Stellarator parameters 
      Minor_Radius =   8.542603355631100E-002
      Major_Radius =    2.03505501334211     
 
  *** Magnetic field strength Fourier modes 
  m  n  B_mn  B_mn/B00 
           0           0   5.47140000000000        1.00000000000000     
           0           1   1.26610000000000       0.231403297145155     
           0           2  0.216720000000000       3.960960631648207E-002
           0           3  8.314500000000001E-003  1.519629345322952E-003
           0           4  2.068700000000000E-002  3.780933581898600E-003
           0           5  9.312500000000000E-003  1.702032386592097E-003
           0           6  1.906600000000000E-003  3.484665716270059E-004
           0           7 -1.710200000000000E-003 -3.125708228241401E-004
           1          -8  1.075100000000000E-003  1.964944986657894E-004
           1          -7 -2.789600000000000E-003 -5.098512263771612E-004
           1          -6 -1.186400000000000E-002 -2.168366414446028E-003
           1          -5 -1.006100000000000E-002 -1.838834667543956E-003
           1          -4  1.420200000000000E-003  2.595679350806009E-004
           1          -3  1.996800000000000E-003  3.649522974010308E-004
           1          -2  3.152600000000000E-002  5.761962203457981E-003
           1          -1  8.499900000000001E-002  1.553514639763132E-002
           1           0 -9.329200000000000E-002 -1.705084621851811E-002
           1           1 -0.194360000000000      -3.552290090287678E-002
           1           2 -4.734300000000000E-002 -8.652812808421976E-003
           1           3 -1.474900000000000E-002 -2.695653763205030E-003
           1           4 -8.056700000000000E-003 -1.472511605804730E-003
           1           5  5.577800000000000E-003  1.019446576744526E-003
           1           6  7.384200000000000E-003  1.349599736813247E-003
           1           7  5.364400000000000E-003  9.804437621084184E-004
           1           8  1.389000000000000E-003  2.538655554337099E-004
           2          -7 -1.893800000000000E-003 -3.461271338231531E-004
           2          -6 -3.739800000000000E-003 -6.835179295975436E-004
           2          -4  3.550000000000000E-003  6.488284534122894E-004
           2          -3 -2.632800000000000E-003 -4.811931132799649E-004
           2          -2 -5.701500000000000E-003 -1.042055049895822E-003
           2          -1  2.768100000000000E-003  5.059217019410023E-004
           2           0 -1.306400000000000E-002 -2.387688708557225E-003
           2           1 -7.266800000000000E-003 -1.328142705706035E-003
           2           3  2.919800000000000E-003  5.336476952882260E-004
           2           4 -2.239300000000000E-003 -4.092736776693351E-004
           2           5  1.433900000000000E-003  2.620718646050371E-004
           2           7 -1.705300000000000E-003 -3.116752567898527E-004
           2           8 -9.309600000000000E-004 -1.701502357714662E-004
           3          -6 -2.959300000000000E-003 -5.408670541360530E-004
           3          -5 -2.885200000000000E-003 -5.273239024746866E-004
           3          -4  1.262700000000000E-003  2.307818839785064E-004
           3          -3 -1.639900000000000E-003 -2.997221917607925E-004
           3          -2 -2.997500000000000E-003 -5.478488138319261E-004
           3           2 -4.333200000000000E-003 -7.919728040355302E-004
           3           4  1.936900000000000E-003  3.540044595533136E-004
           3           5  2.542800000000000E-003  4.647439412216252E-004
           4          -4  1.020400000000000E-003  1.864970574258874E-004
           4          -2 -9.169900000000000E-004 -1.675969587308550E-004
           4           0 -1.114000000000000E-003 -2.036041963665607E-004
           4           1 -1.066900000000000E-003 -1.949957963226962E-004
