              nu/v [m^-1]        E_r/v [kV s /m^2]                 N_theta                   N_zeta                     N_xi                     D_11                     D_31                     D_13                     D_33             D_33_Spitzer      Wall-clock time [s]             CPU time [s] 
   0.3000000000000000E-05   0.0000000000000000E+00   0.1500000000000000E+02   0.1500000000000000E+02   0.2000000000000000E+02   0.2410915471044130E+00  -0.1898762502387359E+01   0.4932553707044169E+01   0.2542659469541463E+05   0.2049469897322168E+06   0.1151000000000000E+00   0.9303160000000000E+00
   0.3000000000000000E-05   0.0000000000000000E+00   0.1500000000000000E+02   0.1900000000000000E+02   0.2000000000000000E+02   0.2560074861789496E+00  -0.1951760127722620E+00   0.1536851045306096E+00   0.2586592216539545E+05   0.2049470945541784E+06   0.4390000000000000E-01   0.6842170000000002E+00
   0.3000000000000000E-05   0.0000000000000000E+00   0.1500000000000000E+02   0.2300000000000000E+02   0.2000000000000000E+02   0.2552947226241106E+00   0.1064338602284654E+00  -0.1175730510762109E+00   0.2581256258051932E+05   0.2049470934529223E+06   0.5820000000000000E-01   0.9150160000000001E+00
   0.3000000000000000E-05   0.0000000000000000E+00   0.1500000000000000E+02   0.2700000000000000E+02   0.2000000000000000E+02   0.2542664660257062E+00   0.3527431097652118E+00  -0.3518144101901806E+00   0.2573162881587285E+05   0.2049470934866292E+06   0.7380000000000000E-01   0.1170438000000000E+01
   0.3000000000000000E-05   0.0000000000000000E+00   0.1500000000000000E+02   0.3100000000000000E+02   0.2000000000000000E+02   0.2541449860621054E+00   0.3517587182208501E+00  -0.3506153390309037E+00   0.2568824232099278E+05   0.2049470934848379E+06   0.9569999999999999E-01   0.1511662000000000E+01
   0.3000000000000000E-05   0.0000000000000000E+00   0.1500000000000000E+02   0.3500000000000000E+02   0.2000000000000000E+02   0.2541459206219404E+00   0.3486748129596698E+00  -0.3489971595427864E+00   0.2568654108090129E+05   0.2049470934848244E+06   0.1015500000000000E+01   0.5829890000000001E+01
   0.3000000000000000E-05   0.0000000000000000E+00   0.1500000000000000E+02   0.3900000000000000E+02   0.2000000000000000E+02   0.2541496167362876E+00   0.3472753713225630E+00  -0.3476266035931498E+00   0.2568635985058367E+05   0.2049470934848237E+06   0.1671000000000000E+00   0.2648436000000000E+01
   0.3000000000000000E-05   0.0000000000000000E+00   0.1500000000000000E+02   0.4300000000000000E+02   0.2000000000000000E+02   0.2541500786459077E+00   0.3471273617639174E+00  -0.3481451848074468E+00   0.2568652206612389E+05   0.2049470934848237E+06   0.2088000000000000E+00   0.3325421000000002E+01
   0.3000000000000000E-05   0.0000000000000000E+00   0.1500000000000000E+02   0.4700000000000000E+02   0.2000000000000000E+02   0.2541501186788496E+00   0.3471429381660084E+00  -0.3480265074408234E+00   0.2568661310663779E+05   0.2049470934848237E+06   0.2476000000000000E+00   0.3940463999999999E+01
   0.3000000000000000E-05   0.0000000000000000E+00   0.1500000000000000E+02   0.5100000000000000E+02   0.2000000000000000E+02   0.2541501314706053E+00   0.3471426593189949E+00  -0.3482565644761634E+00   0.2568661927793556E+05   0.2049470934848237E+06   0.2982000000000000E+00   0.4736968000000001E+01
   0.3000000000000000E-05   0.0000000000000000E+00   0.1500000000000000E+02   0.5500000000000000E+02   0.2000000000000000E+02   0.2541501211580183E+00   0.3471623408893124E+00  -0.3485562140696498E+00   0.2568651985603759E+05   0.2049470934848237E+06   0.3552000000000000E+00   0.5661059999999999E+01
   0.3000000000000000E-05   0.0000000000000000E+00   0.1500000000000000E+02   0.5900000000000000E+02   0.2000000000000000E+02   0.2541501109499194E+00   0.3471673435037154E+00  -0.3460173516193907E+00   0.2568689053213469E+05   0.2049470934848237E+06   0.4097000000000000E+00   0.6531617000000001E+01
   0.3000000000000000E-05   0.0000000000000000E+00   0.1500000000000000E+02   0.6500000000000000E+02   0.2000000000000000E+02   0.2541501258077126E+00   0.3471385358576278E+00  -0.3470188337534270E+00   0.2568683389665209E+05   0.2049470934848235E+06   0.5122000000000000E+00   0.8166119000000002E+01
   0.3000000000000000E-05   0.0000000000000000E+00   0.1500000000000000E+02   0.7100000000000000E+02   0.2000000000000000E+02   0.2541501166093493E+00   0.3471718954680579E+00  -0.3470489972215625E+00   0.2568681071001990E+05   0.2049470934848237E+06   0.5923000000000000E+00   0.9441790999999995E+01
   0.3000000000000000E-05   0.0000000000000000E+00   0.1500000000000000E+02   0.7500000000000000E+02   0.2000000000000000E+02   0.2541501240168966E+00   0.3471592325127894E+00  -0.3464948447631462E+00   0.2568667780826818E+05   0.2049470934848237E+06   0.6550000000000000E+00   0.1043613900000000E+02
   0.3000000000000000E-05   0.0000000000000000E+00   0.1500000000000000E+02   0.8100000000000000E+02   0.2000000000000000E+02   0.2541501112724218E+00   0.3471835238587033E+00  -0.3466940589510213E+00   0.2568669502970195E+05   0.2049470934848235E+06   0.7904000000000000E+00   0.1259643400000000E+02
   0.3000000000000000E-05   0.0000000000000000E+00   0.1500000000000000E+02   0.8500000000000000E+02   0.2000000000000000E+02   0.2541501248492470E+00   0.3472854402328536E+00  -0.3479199661311104E+00   0.2568655590673173E+05   0.2049470934848237E+06   0.8850000000000000E+00   0.1411234999999999E+02
   0.3000000000000000E-05   0.0000000000000000E+00   0.1500000000000000E+02   0.9100000000000000E+02   0.2000000000000000E+02   0.2541501251787965E+00   0.3471913911672605E+00  -0.3472286601649789E+00   0.2568667645317541E+05   0.2049470934848238E+06   0.1044800000000000E+01   0.1666274000000000E+02
   0.3000000000000000E-05   0.0000000000000000E+00   0.1500000000000000E+02   0.9500000000000000E+02   0.2000000000000000E+02   0.2541501008823251E+00   0.3478326481893917E+00  -0.3472875209677680E+00   0.2568713419737656E+05   0.2049470934848235E+06   0.1157600000000000E+01   0.1845957500000000E+02
