nu/v	E_r/v	N_theta	N_zeta	N_xi	D11	D31	D13	D33	D33 Spitzer	t_clock	Delta D11 zeta	Delta D31 zeta	Delta D13 zeta	Delta D33 zeta	Delta D11 theta	Delta D31 theta	Delta D13 theta	Delta D33 theta
1.00000000000000E-05	0.00000000000000E+00	1.50000000000000E+01	1.50000000000000E+01	1.80000000000000E+02	4.74448144381849E-02	-1.70186664277611E+00	3.35338254064611E+00	-1.37429663736328E+04	-6.14840969196650E+04	4.17000000000000E-01	2.37157279266725E-03	1.34684409247868E+00	-3.01019587224624E+00	-2.06104797019993E+03	4.68261018869077E-04	2.61322732193940E-02	-6.51961474627449E-02	7.64560327181971E+00
1.00000000000000E-05	0.00000000000000E+00	1.50000000000000E+01	1.90000000000000E+01	1.80000000000000E+02	4.98163872308521E-02	-3.55022550297431E-01	3.43186668399874E-01	-1.58040143438327E+04	-6.14841283662535E+04	5.82700000000000E-01	-2.29143909991722E-04	4.13414709205092E-01	-4.44826427844992E-01	-8.60533142283559E+02	2.38458932590689E-04	1.55441387831624E-02	-2.05633778133263E-02	-5.03714303245943E+00
1.00000000000000E-05	0.00000000000000E+00	1.50000000000000E+01	2.30000000000000E+01	1.80000000000000E+02	4.95872433208604E-02	5.83921589076609E-02	-1.01639759445118E-01	-1.66645474861163E+04	-6.14841280358767E+04	8.85400000000000E-01	2.34769001389995E-05	7.82233341281819E-02	-5.81394342026583E-02	-5.30983883356250E+02	7.00749144982304E-04	-1.92162869941450E-02	2.20733880548672E-02	2.21152389394010E+01
1.00000000000000E-05	0.00000000000000E+00	1.50000000000000E+01	2.70000000000000E+01	1.80000000000000E+02	4.96107202209994E-02	1.36615493035843E-01	-1.59779193647776E-01	-1.71955313694725E+04	-6.14841280459888E+04	1.28620000000000E+00	2.81497589527314E-04	-3.27440439004679E-02	5.01356456773912E-02	-1.80479959053391E+02	4.25766866043745E-04	9.69006433433639E-03	-1.14258834987559E-02	4.53909268144889E+01
1.00000000000000E-05	0.00000000000000E+00	1.50000000000000E+01	3.10000000000000E+01	1.80000000000000E+02	4.98922178105267E-02	1.03871449135375E-01	-1.09643547970385E-01	-1.73760113285259E+04	-6.14841280454513E+04	1.79140000000000E+00	-2.05344635160649E-04	-1.04245578818878E-01	1.11269231883951E-01	-5.16104871097887E+01	-6.65719841710585E-05	-7.44991649185246E-03	5.49398304521009E-03	-1.26403433686661E+02
1.00000000000000E-05	0.00000000000000E+00	1.50000000000000E+01	3.50000000000000E+01	1.80000000000000E+02	4.96868731753661E-02	-3.74129683503552E-04	1.62568391356658E-03	-1.74276218156357E+04	-6.14841280454473E+04	2.99480000000000E+00	-1.78966307059089E-04	2.52389891903681E-02	-2.92248308314482E-02	-9.42610959159392E+01	6.81944160194556E-05	-2.34048126407827E-02	2.90845645803670E-02	-2.03289814763652E+02
1.00000000000000E-05	0.00000000000000E+00	1.50000000000000E+01	3.90000000000000E+01	1.80000000000000E+02	4.95079068683070E-02	2.48648595068645E-02	-2.75991469178816E-02	-1.75218829115516E+04	-6.14841280454471E+04	3.37970000000000E+00	-8.09101927835704E-05	5.01396915029648E-02	-5.28012134903064E-02	-1.18188448540222E+02	2.03176545127248E-04	-8.35079844191781E-02	9.30588907875003E-02	-1.22848629063134E+02
1.00000000000000E-05	0.00000000000000E+00	1.50000000000000E+01	4.30000000000000E+01	1.80000000000000E+02	4.94269966755234E-02	7.50045510098294E-02	-8.04003604081880E-02	-1.76400713600919E+04	-6.14841280454471E+04	4.37150000000000E+00	-5.69785081226404E-05	8.37494510845588E-03	-7.64955292940239E-03	-9.97504024221707E+01	2.39237374225668E-04	-6.64453430732067E-02	7.18740809385755E-02	-3.00184211548403E+01
1.00000000000000E-05	0.00000000000000E+00	1.50000000000000E+01	4.70000000000000E+01	1.80000000000000E+02	4.93700181674008E-02	8.33794961182852E-02	-8.80499133375904E-02	-1.77398217625140E+04	-6.14841280454471E+04	5.55970000000000E+00	-9.62743935889951E-05	-2.65537498512612E-03	3.28719532316273E-03	-6.84859998362372E+01	2.69299029810925E-04	-3.07749923435961E-02	3.34964749468320E-02	1.46889590704086E+00
1.00000000000000E-05	0.00000000000000E+00	1.50000000000000E+01	5.10000000000000E+01	1.80000000000000E+02	4.92737437738118E-02	8.07241211331591E-02	-8.47627180144277E-02	-1.78083077623503E+04	-6.14841280454471E+04	7.03480000000000E+00	-1.56240736520791E-04	1.32327094978859E-02	-1.34208371008015E-02	-6.52572956433214E+01	2.96240829604451E-04	-1.47472733747248E-02	1.70061405538609E-02	-1.35333184231058E+00
1.00000000000000E-05	0.00000000000000E+00	1.50000000000000E+01	5.50000000000000E+01	1.80000000000000E+02	4.91175030372910E-02	9.39568306310450E-02	-9.81835551152292E-02	-1.78735650579936E+04	-6.14841280454471E+04	8.78330000000000E+00	-1.72436598875080E-04	1.30845244102613E-02	-1.27422195056639E-02	-5.54742020493104E+01	3.69538646137590E-04	-2.37440222768844E-02	2.62987344953887E-02	2.56131419598096E+01
1.00000000000000E-05	0.00000000000000E+00	1.50000000000000E+01	5.90000000000000E+01	1.80000000000000E+02	4.89450664384159E-02	1.07041355041306E-01	-1.10925774620893E-01	-1.79290392600429E+04	-6.14841280454471E+04	1.06131000000000E+01	-5.07006619114847E-05	-3.79102697832920E-03	5.02793854911131E-03	-4.03334957701409E+01	4.59744465731063E-04	-3.34770246509849E-02	3.50731521327491E-02	5.30885627527714E+01
1.00000000000000E-05	0.00000000000000E+00	1.50000000000000E+01	6.30000000000000E+01	1.80000000000000E+02	4.88943657765044E-02	1.03250328062977E-01	-1.05897836071782E-01	-1.79693727558130E+04	-6.14841280454471E+04	1.25718000000000E+01	1.20844955259658E-04	-1.73281074972926E-02	1.87875766953635E-02	-2.72400588137680E+01	4.46565904847394E-04	-2.32864552974991E-02	2.33589689757483E-02	6.16987189519496E+01
1.00000000000000E-05	0.00000000000000E+00	1.50000000000000E+01	6.70000000000000E+01	1.80000000000000E+02	4.90152107317641E-02	8.59222205656845E-02	-8.71102593764183E-02	-1.79966128146268E+04	-6.14841280454471E+04	1.51837000000000E+01	9.95293378479867E-05	-1.38055227621105E-02	1.50371600137243E-02	-1.13548975333615E+01	2.87893162163537E-04	5.35576538598731E-03	-6.94846336430972E-03	6.33229440580508E+01
1.00000000000000E-05	0.00000000000000E+00	1.50000000000000E+01	7.10000000000000E+01	1.80000000000000E+02	4.91147400696121E-02	7.21166978035740E-02	-7.20730993626940E-02	-1.80079677121602E+04	-6.14841280454471E+04	1.76618000000000E+01	1.11174615867571E-04	-6.46697322837542E-03	7.49012737738798E-03	1.48945936806304E+01	1.76363937156164E-04	2.50424579802019E-02	-2.69962846500782E-02	6.34569746628404E+01
1.00000000000000E-05	0.00000000000000E+00	1.50000000000000E+01	7.50000000000000E+01	1.80000000000000E+02	4.92259146854796E-02	6.56497245751986E-02	-6.45829719853060E-02	-1.79930731184795E+04	-6.14841280454471E+04	2.05380000000000E+01	1.94148735976694E-04	-2.96905053315981E-03	2.49386876924450E-03	5.35819477187215E+01	1.15503204114950E-04	2.84308291253306E-02	-3.06486780199125E-02	5.51220302818911E+01
1.00000000000000E-05	0.00000000000000E+00	1.50000000000000E+01	7.90000000000000E+01	1.80000000000000E+02	4.94200634214563E-02	6.26806740420388E-02	-6.20891032160615E-02	-1.79394911707608E+04	-6.14841280454471E+04	2.39998000000000E+01	8.34434303250905E-05	1.61058486997896E-02	-1.62936837792014E-02	4.40727441314302E+01	7.39733886049448E-05	1.71975261973308E-02	-1.81320400130783E-02	2.78015517325694E+01
1.00000000000000E-05	0.00000000000000E+00	1.50000000000000E+01	8.30000000000000E+01	1.80000000000000E+02	4.95035068517814E-02	7.87865227418284E-02	-7.83827869952629E-02	-1.78954184266294E+04	-6.14841280454471E+04	2.75708000000000E+01	7.94239622512044E-05	9.17990158557161E-04	-2.21830816469469E-03	1.63437103776705E+01	1.08577110430580E-04	-6.83548301652626E-05	-4.34297308711667E-04	3.79568613895026E+00
1.00000000000000E-05	0.00000000000000E+00	1.50000000000000E+01	8.70000000000000E+01	1.80000000000000E+02	4.95829308140326E-02	7.97045129003856E-02	-8.06010951599576E-02	-1.78790747162517E+04	-6.14841280454471E+04	3.15071000000000E+01	6.86972491933460E-05	5.05813456110431E-03	-4.02103426826696E-03	2.50737919144194E+01	1.04175492066635E-04	3.53167885843404E-03	-2.60630018616439E-03	-2.76621490532125E+00
