nu / v, D_11, D_31
   9.999999999999991e-06,    4.056693334732898e-05,    3.791169249461750e-02
   1.635430285249607e-05,    5.103393252025683e-05,    3.566709384545308e-02
   2.674632217911612e-05,    6.628627216673564e-05,    3.110446281017901e-02
   4.374174531076964e-05,    8.570918126338740e-05,    2.471390240580102e-02
   7.153657501090769e-05,    1.053007002696979e-04,    1.733442372608258e-02
   1.169930812758687e-04,    1.194847490671488e-04,    1.039963680805821e-02
   1.913340282832237e-04,    1.269168247038727e-04,    5.187937574122458e-03
   3.129134644531891e-04,    1.300794363030478e-04,    1.963742387523391e-03
   5.117481564291222e-04,    1.344032954544190e-04,    1.658819167657695e-04
   8.369284334448390e-04,    1.438614852683893e-04,   -9.304618028014870e-04
   1.368738106642200e-03,    1.545837916371611e-04,   -1.567913025325441e-03
   2.238475752177858e-03,    1.619748079004129e-04,   -1.728133753917288e-03
   3.660871037908565e-03,    1.722172344447387e-04,   -1.577592613617968e-03
   5.987099365788823e-03,    1.980228542209821e-04,   -1.357657877799036e-03
   9.791483623609761e-03,    2.514661113506632e-04,   -1.183213072289858e-03
   1.601328885557698e-02,    3.455199579601036e-04,   -1.073074035051292e-03
   2.618861756086058e-02,    4.975192836706476e-04,   -1.012979166433946e-03
   4.282965828785111e-02,    7.272928713709005e-04,   -9.807096289559997e-04
   7.004492027084346e-02,    1.048761922284501e-03,   -9.300883127102842e-04
   1.145535839388315e-01,    1.476095933759317e-03,   -7.884662271534362e-04
   1.873444004574479e-01,    2.067234112773192e-03,   -5.504494038139782e-04
   3.063887062800402e-01,    2.973024751163168e-03,   -3.100899713209708e-04
   5.010773693088241e-01,    4.474030159707674e-03,   -1.474468303274902e-04
   8.194771050208527e-01,    6.998826036908425e-03,   -6.268166606341278e-05
   1.340197675619775e+00,    1.117008459971040e-02,   -2.457772286136307e-05
   2.191799866929710e+00,    1.786267151610450e-02,   -8.996380544315084e-06
   3.584535881582905e+00,    2.805875451270934e-02,   -3.026537230024041e-06
   5.862258539304578e+00,    4.203815460606868e-02,   -8.293489424275090e-07
   9.587315155141823e+00,    5.816331191998689e-02,   -6.452355615575187e-08
   1.567938555895147e+01,    7.513573276675695e-02,    1.656100615072819e-07
   2.564254199721456e+01,    9.777496048942443e-02,    2.152853002938098e-07
   4.193658977302962e+01,    1.342623512873393e-01,    2.126973555913330e-07
   6.858436897490158e+01,    1.862687251048807e-01,    1.904723164301423e-07
   1.121649541162875e+02,    2.385195377681844e-01,    1.511955205756534e-07
   1.834379629054092e+02,    2.610164090866208e-01,    1.008215310503814e-07
   3.000000000000001e+02,    2.409861929145211e-01,    5.623276043557242e-08
