nu / v, D_11, D_31
   9.999999999999991e-06,    2.900915669856950e-02,   -1.166683068112278e-02
   1.635430285249607e-05,    1.782800743823961e-02,   -3.357165471255751e-02
   2.674632217911612e-05,    1.097012022482422e-02,   -4.695274682242453e-02
   4.374174531076964e-05,    6.759381544091904e-03,   -4.826748727598289e-02
   7.153657501090769e-05,    4.171903551842083e-03,   -4.140231524697040e-02
   1.169930812758687e-04,    2.580635284516452e-03,   -3.153996201132486e-02
   1.913340282832237e-04,    1.601622348151970e-03,   -2.215148392148113e-02
   3.129134644531891e-04,    9.999799578086722e-04,   -1.474143538163411e-02
   5.117481564291222e-04,    6.320881723090366e-04,   -9.502077926166927e-03
   8.369284334448390e-04,    4.103192291519650e-04,   -6.059484374783906e-03
   1.368738106642200e-03,    2.816368957421995e-04,   -3.916012325936678e-03
   2.238475752177858e-03,    2.146412472279202e-04,   -2.635413101842202e-03
   3.660871037908565e-03,    1.918209394193619e-04,   -1.891879797779621e-03
   5.987099365788823e-03,    2.051635967477526e-04,   -1.466793636555960e-03
   9.791483623609761e-03,    2.542924420363381e-04,   -1.225579017456018e-03
   1.601328885557698e-02,    3.467819301852675e-04,   -1.092524900018064e-03
   2.618861756086058e-02,    4.980788390590208e-04,   -1.023304196451318e-03
   4.282965828785111e-02,    7.274053122102161e-04,   -9.866749544180887e-04
   7.004492027084346e-02,    1.048449194760964e-03,   -9.337622225343595e-04
   1.145535839388315e-01,    1.475116470563057e-03,   -7.908412950174691e-04
   1.873444004574479e-01,    2.065035494341917e-03,   -5.519151228316528e-04
   3.063887062800402e-01,    2.969197416952550e-03,   -3.109147725890272e-04
   5.010773693088241e-01,    4.470153529706956e-03,   -1.479176907635134e-04
   8.194771050208527e-01,    7.006239232430081e-03,   -6.298644849040581e-05
   1.340197675619775e+00,    1.124426447814858e-02,   -2.480596239323554e-05
   2.191799866929710e+00,    1.824854560714568e-02,   -9.185333135669721e-06
   3.584535881582905e+00,    2.975509252802837e-02,   -3.184494611279330e-06
   5.862258539304578e+00,    4.860696386340175e-02,   -9.435623075794165e-07
   9.587315155141823e+00,    7.945916876644454e-02,   -1.104401823211444e-07
   1.567938555895147e+01,    1.299289987343963e-01,    1.999798143521710e-07
   2.564254199721456e+01,    2.124770054520712e-01,    3.158632204577149e-07
   4.193658977302962e+01,    3.474834909566692e-01,    3.591641467942922e-07
   6.858436897490158e+01,    5.682802309088907e-01,    3.753500668839931e-07
   1.121649541162875e+02,    9.293797687242507e-01,    3.814005350759357e-07
   1.834379629054092e+02,    1.519934027787811e+00,    3.836628370486850e-07
   3.000000000000001e+02,    2.485745044585516e+00,    3.845087018677402e-07
