nu / v, D_11, D_31
   9.999999999999986e-06,    1.391773626126762e-02,    2.404634191816804e-01
   1.635430285249605e-05,    1.576277868862560e-02,    2.713910217912913e-01
   2.674632217911610e-05,    1.590412829690717e-02,    2.834827706440564e-01
   4.374174531076968e-05,    1.390373134214493e-02,    2.714121462182138e-01
   7.153657501090765e-05,    1.078134361078609e-02,    2.439018363623742e-01
   1.169930812758687e-04,    7.852041367122481e-03,    1.996572168710310e-01
   1.913340282832238e-04,    5.630647737898203e-03,    1.408018836345097e-01
   3.129134644531892e-04,    4.099577915319941e-03,    8.240791238477038e-02
   5.117481564291224e-04,    3.123905433695051e-03,    3.625369291664563e-02
   8.369284334448391e-04,    2.576042565299641e-03,    3.620475596684626e-03
   1.368738106642201e-03,    2.351008501989333e-03,   -1.862479305815282e-02
   2.238475752177859e-03,    2.369468454592420e-03,   -3.326133361175821e-02
   3.660871037908566e-03,    2.574841201742496e-03,   -4.159359092094290e-02
   5.987099365788825e-03,    2.925085190075752e-03,   -4.373239178623017e-02
   9.791483623609763e-03,    3.386399469782381e-03,   -3.990100782415566e-02
   1.601328885557698e-02,    3.930668498477068e-03,   -3.216702288366836e-02
   2.618861756086059e-02,    4.548384009311793e-03,   -2.351234750478109e-02
   4.282965828785112e-02,    5.360743339564576e-03,   -1.575153181066067e-02
   7.004492027084347e-02,    6.676703441177793e-03,   -9.655949633048833e-03
   1.145535839388315e-01,    8.906396994164515e-03,   -5.264704786537816e-03
   1.873444004574479e-01,    1.272474196267758e-02,   -2.479965835676282e-03
   3.063887062800403e-01,    1.933365938664415e-02,   -1.038511898195413e-03
   5.010773693088242e-01,    3.056451655355782e-02,   -4.076219183750946e-04
   8.194771050208529e-01,    4.921727246801280e-02,   -1.554393735829882e-04
   1.340197675619775e+00,    7.964560258884371e-02,   -5.859078981826336e-05
   2.191799866929710e+00,    1.282031633936637e-01,   -2.200196158319863e-05
   3.584535881582906e+00,    2.022385517956749e-01,   -8.266779597922808e-06
   5.862258539304579e+00,    3.037134019869943e-01,   -3.118828677063846e-06
   9.587315155141827e+00,    4.152840224380429e-01,   -1.183185727689445e-06
   1.567938555895147e+01,    5.065032276603363e-01,   -4.479519196765794e-07
   2.564254199721459e+01,    5.908842697312149e-01,   -1.661495243304239e-07
   4.193658977302963e+01,    7.373558378530677e-01,   -5.898906242988467e-08
   6.858436897490158e+01,    1.010655342877460e+00,   -1.912765513139777e-08
   1.121649541162876e+02,    1.426983131599738e+00,   -4.809440923035106e-09
   1.834379629054092e+02,    1.879010710668594e+00,   -1.057306672517535e-10
   3.000000000000001e+02,    2.080941621313402e+00,    9.249753955515047e-10
