nu / v, D_11, D_31
   9.999999999999986e-06,    7.907124664656388e-02,    3.614688947048704e-01
   1.635430285249605e-05,    4.952321253339726e-02,    3.517618503938172e-01
   2.674632217911610e-05,    3.117645040687976e-02,    3.336028461052444e-01
   4.374174531076968e-05,    1.983258480560440e-02,    3.073867335888573e-01
   7.153657501090765e-05,    1.285103944794829e-02,    2.693440540007142e-01
   1.169930812758687e-04,    8.545725116979319e-03,    2.131407040802147e-01
   1.913340282832238e-04,    5.858799674937253e-03,    1.457120659548919e-01
   3.129134644531892e-04,    4.171259193487756e-03,    8.368685044402974e-02
   5.117481564291224e-04,    3.141292799329636e-03,    3.650387688286801e-02
   8.369284334448391e-04,    2.572258167030972e-03,    3.654470038603463e-03
   1.368738106642201e-03,    2.339273176607606e-03,   -1.862217587229624e-02
   2.238475752177859e-03,    2.357915151239957e-03,   -3.325965839554318e-02
   3.660871037908566e-03,    2.568442981762592e-03,   -4.159063903094336e-02
   5.987099365788825e-03,    2.926449262653038e-03,   -4.372907670692523e-02
   9.791483623609763e-03,    3.397600649687551e-03,   -3.989819028082358e-02
   1.601328885557698e-02,    3.954979673668894e-03,   -3.216488422238601e-02
   2.618861756086059e-02,    4.591779327556458e-03,   -2.351084756254418e-02
   4.282965828785112e-02,    5.433736473412688e-03,   -1.575045522961592e-02
   7.004492027084347e-02,    6.797102182442749e-03,   -9.655075101691401e-03
   1.145535839388315e-01,    9.103840433352339e-03,   -5.263922995385211e-03
   1.873444004574479e-01,    1.304870543060681e-02,   -2.479236050776354e-03
   3.063887062800403e-01,    1.986848353648214e-02,   -1.037814431081840e-03
   5.010773693088242e-01,    3.146194703521732e-02,   -4.069400606944078e-04
   8.194771050208529e-01,    5.078441377290015e-02,   -1.547625269515109e-04
   1.340197675619775e+00,    8.263505897910450e-02,   -5.791389721574057e-05
   2.191799866929710e+00,    1.348850544330787e-01,   -2.132334319550871e-05
   3.584535881582906e+00,    2.204362693584684e-01,   -7.588110036263698e-06
   5.862258539304579e+00,    3.604108978010323e-01,   -2.444999293529922e-06
   9.587315155141827e+00,    5.893674004378943e-01,   -5.209954479024778e-07
   1.567938555895147e+01,    9.638329088166456e-01,    1.985081739393114e-07
   2.564254199721459e+01,    1.576259278218286e+00,    4.675397281000645e-07
   4.193658977302963e+01,    2.577848555140985e+00,    5.681293245087916e-07
   6.858436897490158e+01,    4.215883278387434e+00,    6.057383682020164e-07
   1.121649541162876e+02,    6.894778105488093e+00,    6.197999030456058e-07
   1.834379629054092e+02,    1.127592581326487e+01,    6.250574071612506e-07
   3.000000000000001e+02,    1.844098866725204e+01,    6.270229532957936e-07
