              nu/v [m^-1]        E_r/v [kV s /m^2]                 N_theta                   N_zeta                     N_xi                     D_11                     D_31                     D_13                     D_33             D_33_Spitzer      Wall-clock time [s]             CPU time [s] 
   0.1000000000000000E-04   0.0000000000000000E+00   0.2700000000000000E+02   0.7500000000000000E+02   0.2000000000000000E+02   0.1715665717862663E+00   0.6198125861560079E+00  -0.6198125758559767E+00  -0.2830636364567886E+05  -0.6628557164949889E+05   0.1363290000000000E+02   0.1337065100000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2700000000000000E+02   0.7500000000000000E+02   0.4000000000000000E+02   0.1043098610519118E+00   0.3211715094932902E+00  -0.3211723105966890E+00  -0.3407979549634073E+05  -0.6628557164949889E+05   0.2602630000000000E+02   0.2561521300000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2700000000000000E+02   0.7500000000000000E+02   0.6000000000000000E+02   0.9053090009356508E-01   0.3548929178388366E+00  -0.3548897543872769E+00  -0.3600349226058123E+05  -0.6628557164949889E+05   0.3859310000000000E+02   0.3798085500000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2700000000000000E+02   0.7500000000000000E+02   0.8000000000000000E+02   0.8591324624324961E-01   0.3418709847962166E+00  -0.3418614579709123E+00  -0.3688450340367750E+05  -0.6628557164949889E+05   0.5112700000000000E+02   0.5032994200000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2700000000000000E+02   0.7500000000000000E+02   0.1000000000000000E+03   0.8368856345878266E-01   0.3428991783035535E+00  -0.3429014623081351E+00  -0.3730120116188536E+05  -0.6628557164949889E+05   0.6349810000000000E+02   0.6253905500000000E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2700000000000000E+02   0.7500000000000000E+02   0.1200000000000000E+03   0.8228853950774676E-01   0.3457123205262844E+00  -0.3457151874991267E+00  -0.3755025885750928E+05  -0.6628557164949889E+05   0.7600790000000001E+02   0.7483445399999999E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2700000000000000E+02   0.7500000000000000E+02   0.1400000000000000E+03   0.8142143937234260E-01   0.3512219553117341E+00  -0.3512250423074686E+00  -0.3771183794745216E+05  -0.6628557164949889E+05   0.8888050000000000E+02   0.8723611700000004E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2700000000000000E+02   0.7500000000000000E+02   0.1600000000000000E+03   0.8086316154122160E-01   0.3560625980698044E+00  -0.3560785028579768E+00  -0.3781425424087669E+05  -0.6628557164949889E+05   0.1017425000000000E+03   0.9965189500000002E+02
   0.1000000000000000E-04   0.0000000000000000E+00   0.2700000000000000E+02   0.7500000000000000E+02   0.1800000000000000E+03   0.8048701859727081E-01   0.3592030208067873E+00  -0.3592371999938190E+00  -0.3788120080077966E+05  -0.6628557164949889E+05   0.1116476000000000E+03   0.1107455460000000E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.2700000000000000E+02   0.7500000000000000E+02   0.2000000000000000E+03   0.8024177356385807E-01   0.3608052123477158E+00  -0.3608275534112079E+00  -0.3791992253990743E+05  -0.6628557164949889E+05   0.1231459000000000E+03   0.1226227200000000E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.2700000000000000E+02   0.7500000000000000E+02   0.2200000000000000E+03   0.8008198190627588E-01   0.3617795849999435E+00  -0.3617937439107726E+00  -0.3794575262386413E+05  -0.6628557164949889E+05   0.1352721000000000E+03   0.1347044690000000E+03
