              nu/v [m^-1]        E_r/v [kV s /m^2]                 N_theta                   N_zeta                     N_xi                     D_11                     D_31                     D_13                     D_33             D_33_Spitzer      Wall-clock time [s]             CPU time [s] 
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1500000000000000E+02   0.1800000000000000E+03   0.7888207689649951E-01   0.3527895576532376E-01  -0.1310092400603832E-01  -0.3603208672513707E+05  -0.6628557165245651E+05   0.4178000000000000E+00   0.2894380000000000E+00
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1900000000000000E+02   0.1800000000000000E+03   0.8011801892728020E-01   0.2300464556023593E+00  -0.2328594485640782E+00  -0.3666650956598710E+05  -0.6628557164238110E+05   0.5776000000000000E+00   0.4940320000000000E+00
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.2300000000000000E+02   0.1800000000000000E+03   0.7937089028178321E-01   0.2839361763222880E+00  -0.2871282510084334E+00  -0.3708360308831403E+05  -0.6628557164196267E+05   0.8735000000000001E+00   0.7914819999999999E+00
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.2700000000000000E+02   0.1800000000000000E+03   0.7939388523575770E-01   0.3536279604490505E+00  -0.3540799143607412E+00  -0.3738718665225991E+05  -0.6628557164195877E+05   0.1289100000000000E+01   0.1206042000000000E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.3100000000000000E+02   0.1800000000000000E+03   0.7913610989614416E-01   0.4022311587285067E+00  -0.4037361937488012E+00  -0.3762906544880915E+05  -0.6628557164195871E+05   0.1792500000000000E+01   0.1707593000000000E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.3500000000000000E+02   0.1800000000000000E+03   0.7887103158289864E-01   0.4030045482033313E+00  -0.4040932086658883E+00  -0.3774823391312689E+05  -0.6628557164195877E+05   0.3323700000000000E+01   0.3232362000000000E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.3900000000000000E+02   0.1800000000000000E+03   0.7894038842000721E-01   0.3862099178945533E+00  -0.3871786027839986E+00  -0.3774984203809383E+05  -0.6628557164195877E+05   0.3377000000000000E+01   0.3289286000000001E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.4300000000000000E+02   0.1800000000000000E+03   0.7888089795057254E-01   0.3766815422707393E+00  -0.3775801358745933E+00  -0.3774757344986570E+05  -0.6628557164195870E+05   0.4353600000000000E+01   0.4263002999999999E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.4700000000000000E+02   0.1800000000000000E+03   0.7898728268147602E-01   0.3828588464277918E+00  -0.3838405988970306E+00  -0.3777536180669117E+05  -0.6628557164195877E+05   0.5583800000000000E+01   0.5492455999999999E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.5100000000000000E+02   0.1800000000000000E+03   0.7912645163542685E-01   0.3888438614248077E+00  -0.3897546382748230E+00  -0.3780245526679700E+05  -0.6628557164195871E+05   0.6968300000000000E+01   0.6873912000000001E+01
