              nu/v [m^-1]        E_r/v [kV s /m^2]                 N_theta                   N_zeta                     N_xi                     D_11                     D_31                     D_13                     D_33             D_33_Spitzer      Wall-clock time [s]             CPU time [s] 
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1500000000000000E+02   0.2000000000000000E+02   0.1715353912593204E+00   0.5413471779130828E+00  -0.5421329679083028E+00  -0.2826584741150264E+05  -0.6628557165245651E+05   0.1060000000000000E+00   0.4834900000000000E-01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1900000000000000E+02   0.2000000000000000E+02   0.1715373478998251E+00   0.6176706969794225E+00  -0.6177189202379695E+00  -0.2830326747525856E+05  -0.6628557164238110E+05   0.7450000000000000E-01   0.6437200000000000E-01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.2300000000000000E+02   0.2000000000000000E+02   0.1715282627650249E+00   0.6201821599971599E+00  -0.6202344613225731E+00  -0.2830583831400358E+05  -0.6628557164196267E+05   0.1077000000000000E+00   0.9832999999999997E-01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.2700000000000000E+02   0.2000000000000000E+02   0.1715279811784197E+00   0.6205458546085876E+00  -0.6205942865989444E+00  -0.2830628517363289E+05  -0.6628557164195877E+05   0.1593000000000000E+00   0.1497310000000000E+00
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.3100000000000000E+02   0.2000000000000000E+02   0.1715279776309477E+00   0.6205574484726836E+00  -0.6206069147004524E+00  -0.2830630635715528E+05  -0.6628557164195871E+05   0.2238000000000000E+00   0.2140370000000000E+00
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.3500000000000000E+02   0.2000000000000000E+02   0.1715279776798339E+00   0.6205576697265712E+00  -0.6206071425898577E+00  -0.2830630714671587E+05  -0.6628557164195877E+05   0.1065000000000000E+01   0.1051918000000000E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.3900000000000000E+02   0.2000000000000000E+02   0.1715279776618137E+00   0.6205576814412910E+00  -0.6206071515982057E+00  -0.2830630718111141E+05  -0.6628557164195877E+05   0.4071000000000000E+00   0.3967879999999999E+00
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.4300000000000000E+02   0.2000000000000000E+02   0.1715279777596934E+00   0.6205576776967358E+00  -0.6206071551327479E+00  -0.2830630713151878E+05  -0.6628557164195870E+05   0.5329000000000000E+00   0.5224730000000002E+00
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.4700000000000000E+02   0.2000000000000000E+02   0.1715279777040274E+00   0.6205576863810756E+00  -0.6206071548423246E+00  -0.2830630740596166E+05  -0.6628557164195877E+05   0.6790000000000000E+00   0.6680769999999998E+00
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.5100000000000000E+02   0.2000000000000000E+02   0.1715279777094931E+00   0.6205576859067109E+00  -0.6206071554692676E+00  -0.2830630747557786E+05  -0.6628557164195871E+05   0.8602000000000000E+00   0.8486820000000006E+00
