              nu/v [m^-1]        E_r/v [kV s /m^2]                 N_theta                   N_zeta                     N_xi                     D_11                     D_31                     D_13                     D_33             D_33_Spitzer      Wall-clock time [s]             CPU time [s] 
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.1500000000000000E+02   0.2000000000000000E+03   0.1433134904253333E-01  -0.1662009913989001E-01   0.2468991825396382E-01  -0.3644016052270273E+05  -0.6628557165245651E+05   0.4557000000000000E+00   0.3210870000000000E+00
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.1900000000000000E+02   0.2000000000000000E+03   0.1421351433833670E-01   0.1436545871378006E+00  -0.1474431033697270E+00  -0.3688415797296930E+05  -0.6628557164238110E+05   0.6360000000000000E+00   0.5455650000000001E+00
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.2300000000000000E+02   0.2000000000000000E+03   0.1464678359098478E-01   0.1845860454380804E+00  -0.1857006503110072E+00  -0.3720237416703100E+05  -0.6628557164196267E+05   0.9597000000000000E+00   0.8700830000000001E+00
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.2700000000000000E+02   0.2000000000000000E+03   0.1437384262841925E-01   0.2481484562672288E+00  -0.2495472637322448E+00  -0.3746448125966646E+05  -0.6628557164195877E+05   0.1420600000000000E+01   0.1329717000000000E+01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.3100000000000000E+02   0.2000000000000000E+03   0.1431242116273107E-01   0.2581934961335866E+00  -0.2592544377960089E+00  -0.3768717547479387E+05  -0.6628557164195871E+05   0.1974900000000000E+01   0.1882356000000001E+01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.3500000000000000E+02   0.2000000000000000E+03   0.1433904300359470E-01   0.2594062969737033E+00  -0.2606229632846424E+00  -0.3780318272047673E+05  -0.6628557164195877E+05   0.2875900000000000E+01   0.2778547000000000E+01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.3900000000000000E+02   0.2000000000000000E+03   0.1437179878994676E-01   0.2512505677637670E+00  -0.2523792604300345E+00  -0.3780506367093123E+05  -0.6628557164195877E+05   0.3698700000000000E+01   0.3603256999999999E+01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.4300000000000000E+02   0.2000000000000000E+03   0.1439654630876351E-01   0.2496199786898732E+00  -0.2507532934214626E+00  -0.3780986296032917E+05  -0.6628557164195870E+05   0.4867300000000000E+01   0.4768623000000000E+01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.4700000000000000E+02   0.2000000000000000E+03   0.1437481694219503E-01   0.2561825824069013E+00  -0.2573136010391577E+00  -0.3783191625229468E+05  -0.6628557164195877E+05   0.6240600000000000E+01   0.6140143999999999E+01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.5100000000000000E+02   0.2000000000000000E+03   0.1436326325397758E-01   0.2604937529647832E+00  -0.2615622405897230E+00  -0.3786416581106195E+05  -0.6628557164195871E+05   0.7897400000000000E+01   0.7790573999999999E+01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.5500000000000000E+02   0.2000000000000000E+03   0.1436420498661774E-01   0.2664262283797780E+00  -0.2675789239591627E+00  -0.3789534287608831E+05  -0.6628557164195874E+05   0.9761900000000001E+01   0.9649253000000002E+01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.5900000000000000E+02   0.2000000000000000E+03   0.1436380525273437E-01   0.2707331717610074E+00  -0.2719448597108827E+00  -0.3792704864973804E+05  -0.6628557164195874E+05   0.1178170000000000E+02   0.1166027700000000E+02
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.6500000000000000E+02   0.2000000000000000E+03   0.1436807856636646E-01   0.2743668794357777E+00  -0.2756283942994814E+00  -0.3796729037590926E+05  -0.6628557164195878E+05   0.1575490000000000E+02   0.1560603100000000E+02
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.7100000000000000E+02   0.2000000000000000E+03   0.1437625566075821E-01   0.2735046318971803E+00  -0.2747524832538133E+00  -0.3799403038295278E+05  -0.6628557164195867E+05   0.1958580000000000E+02   0.1942127400000000E+02
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.7500000000000000E+02   0.2000000000000000E+03   0.1437872818982927E-01   0.2714771912452217E+00  -0.2726619451581644E+00  -0.3800252617281288E+05  -0.6628557164195870E+05   0.2274400000000000E+02   0.2256756999999999E+02
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.8100000000000000E+02   0.2000000000000000E+03   0.1437962016325180E-01   0.2707184442138088E+00  -0.2718527813216364E+00  -0.3801458336550160E+05  -0.6628557164195883E+05   0.2871160000000000E+02   0.2851701299999999E+02
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.8500000000000000E+02   0.2000000000000000E+03   0.1437981785912652E-01   0.2708077383976061E+00  -0.2719435697819943E+00  -0.3801482754041476E+05  -0.6628557164195874E+05   0.3317550000000000E+02   0.3295636700000000E+02
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.9100000000000000E+02   0.2000000000000000E+03   0.1438022275504538E-01   0.2706278247005769E+00  -0.2717821206134461E+00  -0.3800337425329802E+05  -0.6628557164195877E+05   0.4002420000000000E+02   0.3978021600000000E+02
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.9500000000000000E+02   0.2000000000000000E+03   0.1438043586125315E-01   0.2703794257503933E+00  -0.2715418895428124E+00  -0.3799625491057504E+05  -0.6628557164195877E+05   0.4504320000000000E+02   0.4478044900000000E+02
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.1010000000000000E+03   0.2000000000000000E+03   0.1438059620101733E-01   0.2701131872205028E+00  -0.2712797672198460E+00  -0.3799106188018651E+05  -0.6628557164195880E+05   0.5294980000000000E+02   0.5266319799999999E+02
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.1110000000000000E+03   0.2000000000000000E+03   0.1438064399628433E-01   0.2700101413209228E+00  -0.2711771999162155E+00  -0.3798965738871325E+05  -0.6628557164195878E+05   0.7075950000000000E+02   0.7041826600000002E+02
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.1210000000000000E+03   0.2000000000000000E+03   0.1438064591935732E-01   0.2700055087892453E+00  -0.2711725494456667E+00  -0.3798961848761752E+05  -0.6628557164195883E+05   0.9127740000000000E+02   0.9088139000000001E+02
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.1310000000000000E+03   0.2000000000000000E+03   0.1438064595023982E-01   0.2700054343759976E+00  -0.2711724743183752E+00  -0.3798961815059415E+05  -0.6628557164195868E+05   0.1177139000000000E+03   0.1172504600000000E+03
   0.1000000000000000E-04   0.3000000000000000E-03   0.1900000000000000E+02   0.1500000000000000E+02   0.2000000000000000E+03   0.1421547679076969E-01   0.1426966739936717E+00  -0.1417123431894526E+00  -0.3708517420684402E+05  -0.6628557165991893E+05   0.6318000000000000E+00   0.5417179999999462E+00
   0.1000000000000000E-04   0.3000000000000000E-03   0.1900000000000000E+02   0.1900000000000000E+02   0.2000000000000000E+03   0.1399701768294410E-01   0.1525315057244616E+00  -0.1569658691385876E+00  -0.3703861552716246E+05  -0.6628557164993514E+05   0.1050400000000000E+01   0.9602479999999787E+00
