              nu/v [m^-1]        E_r/v [kV s /m^2]                 N_theta                   N_zeta                     N_xi                     D_11                     D_31                     D_13                     D_33             D_33_Spitzer      Wall-clock time [s]             CPU time [s] 
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.1500000000000000E+02   0.2000000000000000E+02   0.4990781183271428E-01   0.6544049451412822E+00  -0.6555377391888654E+00  -0.2954129036072308E+05  -0.6628557165245651E+05   0.1103000000000000E+00   0.4880500000000000E-01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.1900000000000000E+02   0.2000000000000000E+02   0.4993985520737834E-01   0.6638320722159817E+00  -0.6639915780450470E+00  -0.2952094889784451E+05  -0.6628557164238110E+05   0.7360000000000000E-01   0.6349299999999999E-01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.2300000000000000E+02   0.2000000000000000E+02   0.4994024439208698E-01   0.6660481292232251E+00  -0.6660442902994574E+00  -0.2952176590644169E+05  -0.6628557164196267E+05   0.1077000000000000E+00   0.9839399999999998E-01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.2700000000000000E+02   0.2000000000000000E+02   0.4994032459904892E-01   0.6662343475334617E+00  -0.6662290626071552E+00  -0.2952181101574385E+05  -0.6628557164195877E+05   0.1604000000000000E+00   0.1509030000000000E+00
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.3100000000000000E+02   0.2000000000000000E+02   0.4994032843189045E-01   0.6662325216990854E+00  -0.6662274150141155E+00  -0.2952181843852112E+05  -0.6628557164195871E+05   0.2236000000000000E+00   0.2138690000000000E+00
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.3500000000000000E+02   0.2000000000000000E+02   0.4994032846727838E-01   0.6662324816278863E+00  -0.6662273952029600E+00  -0.2952181877585962E+05  -0.6628557164195877E+05   0.1149700000000000E+01   0.1135907000000000E+01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.3900000000000000E+02   0.2000000000000000E+02   0.4994032848820781E-01   0.6662324752885618E+00  -0.6662273801001578E+00  -0.2952181876709270E+05  -0.6628557164195877E+05   0.4110000000000000E+00   0.4008080000000001E+00
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.4300000000000000E+02   0.2000000000000000E+02   0.4994032847704177E-01   0.6662324687594604E+00  -0.6662273860214893E+00  -0.2952181869988485E+05  -0.6628557164195870E+05   0.5317000000000000E+00   0.5212409999999998E+00
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.4700000000000000E+02   0.2000000000000000E+02   0.4994032845273816E-01   0.6662324734070979E+00  -0.6662273733379936E+00  -0.2952181868100006E+05  -0.6628557164195877E+05   0.6741000000000000E+00   0.6629600000000000E+00
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.5100000000000000E+02   0.2000000000000000E+02   0.4994032846626096E-01   0.6662324785677879E+00  -0.6662273871733896E+00  -0.2952181874440227E+05  -0.6628557164195871E+05   0.8534000000000000E+00   0.8417559999999997E+00
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.5500000000000000E+02   0.2000000000000000E+02   0.4994032847893921E-01   0.6662324753327555E+00  -0.6662273797368180E+00  -0.2952181873584724E+05  -0.6628557164195874E+05   0.1063800000000000E+01   0.1051018000000000E+01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.5900000000000000E+02   0.2000000000000000E+02   0.4994032841594827E-01   0.6662324714319308E+00  -0.6662273806186352E+00  -0.2952181865352533E+05  -0.6628557164195874E+05   0.1280700000000000E+01   0.1266860000000000E+01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.6500000000000000E+02   0.2000000000000000E+02   0.4994032849778292E-01   0.6662324633738276E+00  -0.6662273710964838E+00  -0.2952181849421665E+05  -0.6628557164195878E+05   0.1690800000000000E+01   0.1674159000000000E+01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.7100000000000000E+02   0.2000000000000000E+02   0.4994032850784846E-01   0.6662324644603449E+00  -0.6662273703334549E+00  -0.2952181853488495E+05  -0.6628557164195867E+05   0.2122500000000000E+01   0.2104984000000000E+01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.7500000000000000E+02   0.2000000000000000E+02   0.4994032841892748E-01   0.6662324597828705E+00  -0.6662273707424362E+00  -0.2952181837850396E+05  -0.6628557164195870E+05   0.2464900000000000E+01   0.2445058000000000E+01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.8100000000000000E+02   0.2000000000000000E+02   0.4994032850728166E-01   0.6662324659115275E+00  -0.6662273810554825E+00  -0.2952181840650839E+05  -0.6628557164195883E+05   0.3143000000000000E+01   0.3120489000000001E+01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.8500000000000000E+02   0.2000000000000000E+02   0.4994032851522699E-01   0.6662324743195290E+00  -0.6662273895946080E+00  -0.2952181858271273E+05  -0.6628557164195874E+05   0.3533500000000000E+01   0.3508609000000000E+01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.9100000000000000E+02   0.2000000000000000E+02   0.4994032846272675E-01   0.6662324879936975E+00  -0.6662273906486622E+00  -0.2952181897484024E+05  -0.6628557164195877E+05   0.4308300000000000E+01   0.4280687000000000E+01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.9500000000000000E+02   0.2000000000000000E+02   0.4994032845537318E-01   0.6662324782547583E+00  -0.6662273882716776E+00  -0.2952181877273125E+05  -0.6628557164195877E+05   0.4832300000000000E+01   0.4802209999999999E+01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.1010000000000000E+03   0.2000000000000000E+02   0.4994032847528306E-01   0.6662324794479365E+00  -0.6662273888314846E+00  -0.2952181910594477E+05  -0.6628557164195880E+05   0.5685300000000000E+01   0.5651288000000001E+01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.1110000000000000E+03   0.2000000000000000E+02   0.4994032842208455E-01   0.6662324888468609E+00  -0.6662274026523017E+00  -0.2952181926919096E+05  -0.6628557164195878E+05   0.7526400000000000E+01   0.7486755000000002E+01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.1210000000000000E+03   0.2000000000000000E+02   0.4994032851330448E-01   0.6662324630631232E+00  -0.6662273931398588E+00  -0.2952181879914266E+05  -0.6628557164195883E+05   0.9743700000000000E+01   0.9697471999999998E+01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1500000000000000E+02   0.1310000000000000E+03   0.2000000000000000E+02   0.4994032843932639E-01   0.6662324780522889E+00  -0.6662273877974694E+00  -0.2952181891988924E+05  -0.6628557164195868E+05   0.1247680000000000E+02   0.1242151600000000E+02
   0.1000000000000000E-04   0.3000000000000000E-03   0.1900000000000000E+02   0.1500000000000000E+02   0.2000000000000000E+02   0.4991263802686621E-01   0.6543880573399967E+00  -0.6555215421782939E+00  -0.2954128732407206E+05  -0.6628557165991893E+05   0.7370000000000000E-01   0.6431700000000262E-01
   0.1000000000000000E-04   0.3000000000000000E-03   0.1900000000000000E+02   0.1900000000000000E+02   0.2000000000000000E+02   0.4994435082859505E-01   0.6637626531766923E+00  -0.6639285083955613E+00  -0.2952095664319228E+05  -0.6628557164993514E+05   0.1178000000000000E+00   0.1083920000000020E+00
   0.1000000000000000E-04   0.3000000000000000E-03   0.1900000000000000E+02   0.2300000000000000E+02   0.2000000000000000E+02   0.4994471100877362E-01   0.6659305310359634E+00  -0.6659321585462890E+00  -0.2952176958558305E+05  -0.6628557164951155E+05   0.1896000000000000E+00   0.1800079999999937E+00
   0.1000000000000000E-04   0.3000000000000000E-03   0.1900000000000000E+02   0.2700000000000000E+02   0.2000000000000000E+02   0.4994478176936824E-01   0.6661081610697949E+00  -0.6661084242653913E+00  -0.2952181116285570E+05  -0.6628557164950830E+05   0.2899000000000000E+00   0.2798420000000021E+00
