              nu/v [m^-1]        E_r/v [kV s /m^2]                 N_theta                   N_zeta                     N_xi                     D_11                     D_31                     D_13                     D_33             D_33_Spitzer      Wall-clock time [s]             CPU time [s] 
   0.1000000000000000E-04   0.3000000000000000E-03   0.2700000000000000E+02   0.5500000000000000E+02   0.1600000000000000E+03   0.1398992117565808E-01   0.2303510916078325E+00  -0.2303018183696365E+00  -0.3785005167944729E+05  -0.6628557164949892E+05   0.4163110000000000E+02   0.4135609100000001E+02
   0.1635430285249606E-04   0.3000000000000000E-03   0.2700000000000000E+02   0.5500000000000000E+02   0.1600000000000000E+03   0.1578404709588930E-01   0.2651142158756913E+00  -0.2650850617486002E+00  -0.2338111846473699E+05  -0.4053096744468207E+05   0.4052960000000000E+02   0.4030893900000000E+02
   0.2674632217911607E-04   0.3000000000000000E-03   0.2700000000000000E+02   0.5500000000000000E+02   0.1600000000000000E+03   0.1590108829037549E-01   0.2808448566738569E+00  -0.2808323095598341E+00  -0.1446041857654697E+05  -0.2478306034212647E+05   0.4058250000000000E+02   0.4036158100000000E+02
   0.4374174531076974E-04   0.3000000000000000E-03   0.2700000000000000E+02   0.5500000000000000E+02   0.1600000000000000E+03   0.1388629735491705E-01   0.2708113571615406E+00  -0.2708077962644995E+00  -0.8955632857216087E+04  -0.1515384701240502E+05   0.4046440000000000E+02   0.4024373500000002E+02
   0.7153657501090776E-04   0.3000000000000000E-03   0.2700000000000000E+02   0.5500000000000000E+02   0.1600000000000000E+03   0.1075970417029893E-01   0.2436833405128367E+00  -0.2436825802878711E+00  -0.5557084885415081E+04  -0.9265969420452662E+04   0.4045210000000000E+02   0.4023159600000000E+02
   0.1169930812758687E-03   0.3000000000000000E-03   0.2700000000000000E+02   0.5500000000000000E+02   0.1600000000000000E+03   0.7832287025334336E-02   0.1994956132136336E+00  -0.1994954933047889E+00  -0.3457293400424951E+04  -0.5665768516105507E+04   0.4044180000000000E+02   0.4021984700000002E+02
   0.1913340282832243E-03   0.3000000000000000E-03   0.2700000000000000E+02   0.5500000000000000E+02   0.1600000000000000E+03   0.5613795815616126E-02   0.1407378566811010E+00  -0.1407378471860225E+00  -0.2158460884394590E+04  -0.3464390116293326E+04   0.4041950000000000E+02   0.4019821899999999E+02
   0.3129134644531899E-03   0.3000000000000000E-03   0.2700000000000000E+02   0.5500000000000000E+02   0.1600000000000000E+03   0.4084061001654106E-02   0.8239244252758775E-01  -0.8239244244386386E-01  -0.1353742192621513E+04  -0.2118335552141601E+04   0.4040930000000000E+02   0.4018700799999999E+02
   0.5117481564291227E-03   0.3000000000000000E-03   0.2700000000000000E+02   0.5500000000000000E+02   0.1600000000000000E+03   0.3106981526906888E-02   0.3624481366031231E-01  -0.3624481370077527E-01  -0.8537521096641624E+03  -0.1295277194783202E+04   0.4043150000000000E+02   0.4020823400000000E+02
   0.8369284334448408E-03   0.3000000000000000E-03   0.2700000000000000E+02   0.5500000000000000E+02   0.1600000000000000E+03   0.2555998063888909E-02   0.3610302913223795E-02  -0.3610302914746595E-02  -0.5416286288907107E+03  -0.7920100333628772E+03   0.4043690000000000E+02   0.4021431100000001E+02
   0.1368738106642202E-02   0.3000000000000000E-03   0.2700000000000000E+02   0.5500000000000000E+02   0.1600000000000000E+03   0.2329351609748722E-02  -0.1863432320967669E-01   0.1863432321009392E-01  -0.3455203677510636E+03  -0.4842823570691050E+03   0.4044400000000000E+02   0.4022182400000003E+02
   0.2238475752177861E-02   0.3000000000000000E-03   0.2700000000000000E+02   0.5500000000000000E+02   0.1600000000000000E+03   0.2350131433108961E-02  -0.3326798617717789E-01   0.3326798617783714E-01  -0.2214740208572988E+03  -0.2961192301726219E+03   0.4042740000000000E+02   0.4020471199999997E+02
   0.3660871037908570E-02   0.3000000000000000E-03   0.2700000000000000E+02   0.5500000000000000E+02   0.1600000000000000E+03   0.2560616587421690E-02  -0.4159722929317941E-01   0.4159722929356303E-01  -0.1425011852432290E+03  -0.1810650278666125E+03   0.4043340000000000E+02   0.4021155800000003E+02
   0.5987099365788832E-02   0.3000000000000000E-03   0.2700000000000000E+02   0.5500000000000000E+02   0.1600000000000000E+03   0.2916435109483420E-02  -0.4373412413805539E-01   0.4373412413820084E-01  -0.9187326354753276E+02  -0.1107139995508751E+03   0.4005150000000000E+02   0.3982996600000001E+02
   0.9791483623609773E-02   0.3000000000000000E-03   0.2700000000000000E+02   0.5500000000000000E+02   0.1600000000000000E+03   0.3382786862133804E-02  -0.3990185765570669E-01   0.3990185765576168E-01  -0.5912207119209654E+02  -0.6769716847574300E+02   0.4023650000000000E+02   0.4001546299999995E+02
   0.1601328885557698E-01   0.3000000000000000E-03   0.2700000000000000E+02   0.5500000000000000E+02   0.1600000000000000E+03   0.3931725447118727E-02  -0.3216744334081852E-01   0.3216744334084516E-01  -0.3777071971964499E+02  -0.4139410226551525E+02   0.4027800000000000E+02   0.4005697100000009E+02
