              nu/v [m^-1]	       E_r/v [kV s /m^2]	               N_theta	                 N_zeta	                   N_xi	                   D_11	                   D_31	                   D_13	                   D_33	           D_33_Spitzer	    Wall-clock time [s]	           CPU time [s]	Delta D_11	Delta D_31	Delta D_13	Delta D_33
1.0000000000E-05	0.0000000000E+00	2.3000000000E+01	1.6300000000E+02	2.0000000000E+01	4.9412505133E-01	4.5226523281E-02	-4.5226673185E-02	-2.1363847164E+04	-6.5481537728E+04	7.8012700000E+01	7.7715024000E+01	-4.3180364516E-02	7.3080404640E-02	-7.3080370517E-02	-6.0832723994E+03
1.0000000000E-05	0.0000000000E+00	2.3000000000E+01	1.6300000000E+02	4.0000000000E+01	4.5094468682E-01	1.1830692792E-01	-1.1830704370E-01	-2.7447119564E+04	-6.5481537728E+04	1.5008870000E+02	1.4960922700E+02	-8.5752550978E-03	-1.0416522319E-01	1.0416528979E-01	-1.9470822917E+03
1.0000000000E-05	0.0000000000E+00	2.3000000000E+01	1.6300000000E+02	6.0000000000E+01	4.4236943172E-01	1.4141704727E-02	-1.4141753907E-02	-2.9394201855E+04	-6.5481537728E+04	2.2272330000E+02	2.2201141600E+02	-4.0785325523E-03	8.1647894230E-03	-8.1640924153E-03	-8.6362160256E+02
1.0000000000E-05	0.0000000000E+00	2.3000000000E+01	1.6300000000E+02	8.0000000000E+01	4.3829089917E-01	2.2306494150E-02	-2.2305846322E-02	-3.0257823458E+04	-6.5481537728E+04	2.9466790000E+02	2.9372768700E+02	-2.5522774613E-03	2.7495053681E-02	-2.7499559868E-02	-4.5395202437E+02
1.0000000000E-05	0.0000000000E+00	2.3000000000E+01	1.6300000000E+02	1.0000000000E+02	4.3573862170E-01	4.9801547832E-02	-4.9805406190E-02	-3.0711775482E+04	-6.5481537728E+04	3.6682000000E+02	3.6564852700E+02	-1.6520807089E-03	1.1422547557E-02	-1.1434555717E-02	-2.6560867417E+02
1.0000000000E-05	0.0000000000E+00	2.3000000000E+01	1.6300000000E+02	1.2000000000E+02	4.3408654100E-01	6.1224095389E-02	-6.1239961908E-02	-3.0977384156E+04	-6.5481537728E+04	4.3880780000E+02	4.3740317500E+02	-1.0911360484E-03	3.8016845583E-03	-3.8122016745E-03	-1.6743516881E+02
1.0000000000E-05	0.0000000000E+00	2.3000000000E+01	1.6300000000E+02	1.4000000000E+02	4.3299540495E-01	6.5025779947E-02	-6.5052163582E-02	-3.1144819325E+04	-6.5481537728E+04	5.1150890000E+02	5.0987651500E+02	-7.4184128815E-04	1.5814582945E-03	-1.5713231042E-03	-1.1184705951E+02
1.0000000000E-05	0.0000000000E+00	2.3000000000E+01	1.6300000000E+02	1.6000000000E+02	4.3225356366E-01	6.6607238242E-02	-6.6623486686E-02	-3.1256666385E+04	-6.5481537728E+04	5.8452830000E+02	5.8261483700E+02	-5.3919164765E-04	8.0310090319E-04	-7.8118471402E-04	-7.8124732302E+01
1.0000000000E-05	0.0000000000E+00	2.3000000000E+01	1.6300000000E+02	1.8000000000E+02	4.3171437201E-01	6.7410339145E-02	-6.7404671400E-02	-3.1334791117E+04	-6.5481537728E+04	-2.1409290530E+05	6.5299003800E+02	-3.8774755636E-04	7.8842666303E-04	-7.7293643808E-04	-5.5895274022E+01
1.0000000000E-05	0.0000000000E+00	2.3000000000E+01	1.6300000000E+02	2.0000000000E+02	4.3132662445E-01	6.8198765808E-02	-6.8177607838E-02	-3.1390686391E+04	-6.5481537728E+04	7.2713940000E+02	7.2481475300E+02	-2.7642802956E-04	8.2588746589E-04	-8.2922152462E-04	-4.0290058005E+01
