              nu/v [m^-1]        E_r/v [kV s /m^2]                 N_theta                   N_zeta                     N_xi                     D_11                     D_31                     D_13                     D_33             D_33_Spitzer      Wall-clock time [s]             CPU time [s] 
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.1530000000000000E+03   0.2000000000000000E+02   0.4941250517285728E+00   0.4522653075891150E-01  -0.4522672586286957E-01  -0.2136384715889674E+05  -0.6548153772849293E+05   0.5636160000000000E+02   0.7319086160000001E+03
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.1530000000000000E+03   0.4000000000000000E+02   0.4509446453346632E+00   0.1183070502146472E+00  -0.1183070394168012E+00  -0.2744711983606254E+05  -0.6548153772849293E+05   0.1076808000000000E+03   0.1410824327000000E+04
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.1530000000000000E+03   0.6000000000000000E+02   0.4423694220469651E+00   0.1413982643880556E-01  -0.1413983436753369E-01  -0.2939420338497918E+05  -0.6548153772849293E+05   0.1589337000000000E+03   0.2088050361000001E+04
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.1530000000000000E+03   0.8000000000000000E+02   0.4382904407714709E+00   0.2227872461846509E-01  -0.2227872367392856E-01  -0.3025783018275520E+05  -0.6548153772849293E+05   0.2104358000000000E+03   0.2768386211000000E+04
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.1530000000000000E+03   0.1000000000000000E+03   0.4357385846896579E+00   0.4981530545511614E-01  -0.4981529197290262E-01  -0.3071179342416447E+05  -0.6548153772849293E+05   0.2617149000000000E+03   0.3445317550000000E+04
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.1530000000000000E+03   0.1200000000000000E+03   0.4340850577217533E+00   0.6128943901376546E-01  -0.6128944944592654E-01  -0.3097742468012224E+05  -0.6548153772849293E+05   0.3126889000000000E+03   0.4115972376000000E+04
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.1530000000000000E+03   0.1400000000000000E+03   0.4330102333919777E+00   0.6467809559371014E-01  -0.6467809381791718E-01  -0.3114491400864334E+05  -0.6548153772849293E+05   0.3644358000000000E+03   0.4802691203000000E+04
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.1530000000000000E+03   0.1600000000000000E+03   0.4322976711949802E+00   0.6519786908524286E-01  -0.6519787046628672E-01  -0.3125685252091042E+05  -0.6548153772849293E+05   0.4155854000000000E+03   0.5476176481000002E+04
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.1530000000000000E+03   0.1800000000000000E+03   0.4318064517709816E+00   0.6519907881941839E-01  -0.6519908756809997E-01  -0.3133505772301120E+05  -0.6548153772849293E+05   0.4665467000000000E+03   0.6147150329000000E+04
   0.1000000000000000E-04   0.0000000000000000E+00   0.4700000000000000E+02   0.1530000000000000E+03   0.2000000000000000E+03   0.4314482797116200E+00   0.6541448142634916E-01  -0.6541449822844446E-01  -0.3139099999697215E+05  -0.6548153772849293E+05   0.5176584000000000E+03   0.6822722200000000E+04
