                    nu/v	                  E_r/v	               N_theta	                 N_zeta	                   N_xi	                   D_11	                   D_31	                   D_13	                   D_33	           D_33_Spitzer	            t_clock [s]	Delta D11	Delta D31	Delta D13	Delta D33
1.0000000000E-05	3.0000000000E-04	1.5000000000E+01	1.5000000000E+01	1.8000000000E+02	1.7616731949E-02	4.6866354947E-01	-5.2865469041E-01	-2.9664198385E+04	-6.5483621376E+04	3.7720000000E-01	-3.6635888929E-03	-1.8003778301E-01	2.4655263105E-01	-4.3008310407E+02
1.0000000000E-05	3.0000000000E-04	1.5000000000E+01	1.9000000000E+01	1.8000000000E+02	1.3953143056E-02	2.8862576647E-01	-2.8210205936E-01	-3.0094281489E+04	-6.5481457966E+04	5.7470000000E-01	6.7308157200E-05	-1.1668361094E-01	9.8694992943E-02	-4.4571059221E+02
1.0000000000E-05	3.0000000000E-04	1.5000000000E+01	2.3000000000E+01	1.8000000000E+02	1.4020451213E-02	1.7194215553E-01	-1.8340706642E-01	-3.0539992081E+04	-6.5481553843E+04	8.6840000000E-01	5.9102374383E-04	6.2543510076E-02	-4.3253242291E-02	-2.1145912491E+02
1.0000000000E-05	3.0000000000E-04	1.5000000000E+01	2.7000000000E+01	1.8000000000E+02	1.4611474957E-02	2.3448566561E-01	-2.2666030871E-01	-3.0751451206E+04	-6.5481538201E+04	1.2877000000E+00	-1.9607548114E-04	5.3231900986E-02	-5.9001560951E-02	-1.5138465139E+02
1.0000000000E-05	3.0000000000E-04	1.5000000000E+01	3.1000000000E+01	1.8000000000E+02	1.4415399476E-02	2.8771756659E-01	-2.8566186966E-01	-3.0902835857E+04	-6.5481537748E+04	1.7891000000E+00	4.1022351526E-06	-3.2961000809E-03	3.2337558722E-03	-1.3726345474E+02
1.0000000000E-05	3.0000000000E-04	1.5000000000E+01	3.5000000000E+01	1.8000000000E+02	1.4419501711E-02	2.8442146651E-01	-2.8242811379E-01	-3.1040099312E+04	-6.5481537750E+04	2.4691000000E+00	-2.7779989605E-04	-1.4064015451E-02	1.3163591953E-02	-9.3327239195E+01
1.0000000000E-05	3.0000000000E-04	1.5000000000E+01	3.9000000000E+01	1.8000000000E+02	1.4141701815E-02	2.7035745106E-01	-2.6926452183E-01	-3.1133426551E+04	-6.5481537728E+04	3.3106000000E+00	-3.1221102756E-04	-1.1651372054E-02	1.1189390752E-02	-7.1122884900E+01
1.0000000000E-05	3.0000000000E-04	1.5000000000E+01	4.3000000000E+01	1.8000000000E+02	1.3829490787E-02	2.5870607901E-01	-2.5807513108E-01	-3.1204549436E+04	-6.5481537729E+04	4.3229000000E+00	-8.6707378676E-05	-1.1565398041E-02	1.1425045555E-02	-4.8378130043E+01
1.0000000000E-05	3.0000000000E-04	1.5000000000E+01	4.7000000000E+01	1.8000000000E+02	1.3742783409E-02	2.4714068096E-01	-2.4665008553E-01	-3.1252927566E+04	-6.5481537729E+04	5.6676000000E+00	1.7624532349E-04	1.1577669309E-02	-1.1994278507E-02	-3.4527187670E+01
1.0000000000E-05	3.0000000000E-04	1.5000000000E+01	5.1000000000E+01	1.8000000000E+02	1.3919028732E-02	2.5871835027E-01	-2.5864436403E-01	-3.1287454754E+04	-6.5481537729E+04	6.9652000000E+00	2.5170173484E-05	3.7101299728E-03	-3.6496460960E-03	4.4472309185E+00
1.0000000000E-05	3.0000000000E-04	1.5000000000E+01	5.5000000000E+01	1.8000000000E+02	1.3944198906E-02	2.6242848025E-01	-2.6229401013E-01	-3.1283007523E+04	-6.5481537729E+04	8.7650000000E+00	9.1746253276E-06	6.7150276888E-03	-6.8345137980E-03	-1.2633485513E+01
1.0000000000E-05	3.0000000000E-04	1.5000000000E+01	5.9000000000E+01	1.8000000000E+02	1.3953373531E-02	2.6914350794E-01	-2.6912852393E-01	-3.1295641008E+04	-6.5481537729E+04	1.0580800000E+01	-5.9079524839E-05	4.3218024371E-03	-4.3859091868E-03	-2.3510743983E+01
1.0000000000E-05	3.0000000000E-04	1.5000000000E+01	6.3000000000E+01	1.8000000000E+02	1.3894294006E-02	2.7346531037E-01	-2.7351443311E-01	-3.1319151752E+04	-6.5481537729E+04	1.2475100000E+01	-6.5345578436E-05	2.7207593491E-03	-2.7598306686E-03	-3.0374691071E+01
1.0000000000E-05	3.0000000000E-04	1.5000000000E+01	6.7000000000E+01	1.8000000000E+02	1.3828948428E-02	2.7618606972E-01	-2.7627426378E-01	-3.1349526443E+04	-6.5481537729E+04	1.5021400000E+01	-1.7826393650E-05	1.4589393136E-03	-1.5101364669E-03	-2.0900145687E+01
1.0000000000E-05	3.0000000000E-04	1.5000000000E+01	7.1000000000E+01	1.8000000000E+02	1.3811122034E-02	2.7764500904E-01	-2.7778440025E-01	-3.1370426589E+04	-6.5481537729E+04	1.7573100000E+01	4.2668434880E-05	3.6006930991E-03	-3.6413604782E-03	-1.8191253772E+01
1.0000000000E-05	3.0000000000E-04	1.5000000000E+01	7.5000000000E+01	1.8000000000E+02	1.3853790469E-02	2.8124570213E-01	-2.8142576073E-01	-3.1388617843E+04	-6.5481537729E+04	2.0422400000E+01	2.1384551997E-05	-1.6245476031E-03	1.6248963908E-03	-4.5467210961E+00
1.0000000000E-05	3.0000000000E-04	1.5000000000E+01	7.9000000000E+01	1.8000000000E+02	1.3875175021E-02	2.7962115453E-01	-2.7980086434E-01	-3.1393164564E+04	-6.5481537729E+04	2.3909000000E+01	-4.4495988281E-06	-2.5125172320E-03	2.5112138183E-03	7.6020888885E+00
1.0000000000E-05	3.0000000000E-04	1.5000000000E+01	8.3000000000E+01	1.8000000000E+02	1.3870725422E-02	2.7710863730E-01	-2.7728965052E-01	-3.1385562475E+04	-6.5481537729E+04	2.7451700000E+01	-1.4361245123E-05	-2.1874456110E-03	2.2013749587E-03	1.2033693290E+01
1.0000000000E-05	3.0000000000E-04	1.5000000000E+01	8.7000000000E+01	1.8000000000E+02	1.3856364177E-02	2.7492119169E-01	-2.7508827556E-01	-3.1373528782E+04	-6.5481537729E+04	3.1133300000E+01	-1.8182600070E-05	-1.5285206468E-03	1.5390049892E-03	7.9852913364E+00
1.0000000000E-05	3.0000000000E-04	1.5000000000E+01	9.1000000000E+01	1.8000000000E+02	1.3838181577E-02	2.7339267104E-01	-2.7354927057E-01	-3.1365543491E+04	-6.5481537729E+04	3.6048200000E+01	1.1605711065E-06	3.0155893478E-04	-3.0783181278E-04	1.6782203473E+00
1.0000000000E-05	3.0000000000E-04	1.5000000000E+01	9.5000000000E+01	1.8000000000E+02	1.3839342148E-02	2.7369422998E-01	-2.7385710238E-01	-3.1363865270E+04	-6.5481537729E+04	4.0258000000E+01	1.0040737573E-05	1.0213181878E-03	-1.0281528455E-03	-9.4486035478E-01
1.0000000000E-05	3.0000000000E-04	1.5000000000E+01	9.9000000000E+01	1.8000000000E+02	1.3849382886E-02	2.7471554816E-01	-2.7488525523E-01	-3.1364810131E+04	-6.5481537729E+04	4.5968800000E+01	9.4765010594E-06	1.3915237166E-04	-1.3716519332E-04	-3.0557506841E-01
