  *** Flux-surface parameters 
      s =   0.20000000000000001     
      Number of periods =            5
      psi_p =  -0.52233297624635888     
      chi_p =  -0.45007089922216498     
      iota =  -0.86165515043011298     
      B00 =    2.4311435792751661     
      B_theta =   -2.6562953225894859E-018
      B_zeta =   -14.087580278772601     
      B00/(B_zeta+iota*B_theta) =  -0.17257353861815811     
  *** Stellarator parameters 
      Aspect_ratio =    10.751127053979600     
      Minor_Radius =   0.51917367153560956     
      Major_Radius =    5.5817021057604101     

  *** Magnetic field strength Fourier modes 
                        m                        n                     B_mn                 B_mn/B00
                        0                        0   0.2431143579275166E+01   0.1000000000000000E+01
                        0                        1   0.1114877991825907E+00   0.4585817149303468E-01
                        0                        2   0.1715549065447195E-03   0.7056551822244400E-04
                        0                        3   0.1617446186908955E-02   0.6653026175406674E-03
                        0                        4   0.6098205291968586E-02   0.2508369042435058E-02
                        0                        5   0.1488065016105269E-02   0.6120843823419631E-03
                        0                        6  -0.2575214638689936E-03  -0.1059260613253341E-03
                        0                        7   0.7441771818754721E-04   0.3061016997183461E-04
                        1                       -6  -0.3584799360076304E-04  -0.1474532146367552E-04
                        1                       -5   0.1458435708933977E-03   0.5998969873136009E-04
                        1                       -4   0.1177816240834899E-03   0.4844700456507217E-04
                        1                       -3  -0.1608013859621193E-02  -0.6614228272361499E-03
                        1                       -2   0.3558582696179991E-02   0.1463748470685127E-02
                        1                       -1   0.5455256945532536E-02   0.2243905704310148E-02
                        1                        0  -0.4077606651057573E-01  -0.1677238105481739E-01
                        1                        1  -0.9422804205071593E-01  -0.3875873183878740E-01
                        1                        2   0.3247709122971716E-02   0.1335877136446217E-02
                        1                        3  -0.2945431329542822E-02  -0.1211541496212654E-02
                        1                        4   0.8912976958529270E-03   0.3666166422464704E-03
                        1                        5  -0.6836038955581387E-03  -0.2811861468757645E-03
                        2                       -6  -0.1821757105245461E-03  -0.7493416352598186E-04
                        2                       -5  -0.5392353330244210E-03  -0.2218031619445493E-03
                        2                       -4   0.9448477423954460E-04   0.3886433324835335E-04
                        2                       -3   0.4919275362395103E-03   0.2023440904243822E-03
                        2                       -2   0.3516347019261689E-04   0.1446375709455248E-04
                        2                       -1  -0.2418751823959083E-02  -0.9949029109503366E-03
                        2                        0  -0.3708592772169982E-02  -0.1525451974035890E-02
                        2                        1   0.2023819366693939E-02   0.8324557150579033E-03
                        2                        2  -0.2406901815499072E-03  -0.9900286581250288E-04
                        2                        3   0.1199196119007504E-02   0.4932642108143355E-03
                        2                        4   0.1043325738032931E-03   0.4291501937306367E-04
                        2                        5   0.5580090446536097E-03   0.2295253350770741E-03
                        2                        6  -0.3137874141614852E-03  -0.1290698816953622E-03
                        2                        8  -0.3711612141742814E-04  -0.1526693928480116E-04
                        3                       -6  -0.3319671173003537E-04  -0.1365477218747106E-04
                        3                       -5  -0.3742323783194816E-04  -0.1539326519049349E-04
                        3                       -4  -0.1114697827369495E-03  -0.4585076080540818E-04
                        3                       -3  -0.1043005562848678E-03  -0.4290184963734826E-04
                        3                       -2  -0.3858273767371145E-03  -0.1587020116895552E-03
                        3                       -1  -0.3582333631349676E-03  -0.1473517920491447E-03
                        3                        0   0.2167436643658958E-03   0.8915296744033396E-04
                        3                        1   0.6644864539600570E-03   0.2733225876186920E-03
                        3                        2  -0.2770533822712113E-02  -0.1139601069361002E-02
                        3                        3   0.1232362136766976E-02   0.5069063576797874E-03
                        3                        4  -0.3689511513420808E-03  -0.1517603297835999E-03
                        3                        6   0.1788340020874671E-03   0.7355962174014651E-04
                        3                        7  -0.2767218771452644E-04  -0.1138237492446940E-04
                        4                       -5  -0.5346584790463871E-04  -0.2199205689060097E-04
                        4                       -4  -0.8053829602447248E-04  -0.3312774149212717E-04
                        4                       -1  -0.1011935959858387E-03  -0.4162386658216587E-04
                        4                        0   0.4101498279998614E-03   0.1687065426724594E-03
                        4                        1   0.3809235032869816E-03   0.1566849060393842E-03
                        4                        2   0.2679453306150009E-03   0.1102137006218644E-03
                        4                        3   0.4151216361494237E-03   0.1707515918385990E-03
                        4                        4  -0.1246513455555901E-03  -0.5127272063164378E-04
                        4                        5  -0.1115858506720891E-03  -0.4589850291991307E-04
                        4                        6  -0.6628829132081167E-04  -0.2726630047106276E-04
                        5                       -1  -0.5367546834221530E-04  -0.2207827986787123E-04
                        5                        0   0.6773188265504368E-04   0.2786009153570338E-04
                        5                        1   0.1958711600671264E-03   0.8056749989464813E-04
                        5                        2   0.2412036874928631E-03   0.9921408572864992E-04
                        5                        3   0.1370573933726219E-03   0.5637568860226879E-04
                        5                        4   0.1032334832196710E-03   0.4246293147788894E-04
                        5                        5   0.6267238858022142E-04   0.2577897460046638E-04
                        5                        6   0.5204596905110699E-04   0.2140801945832596E-04
                        6                       -1  -0.2896106754608339E-04  -0.1191252865234640E-04
                        6                        0  -0.9321476791129676E-04  -0.3834194274082664E-04
                        6                        1   0.9924086659716694E-04   0.4082065224085002E-04
                        6                        2   0.2406220664558335E-03   0.9897484809497506E-04
                        6                        3   0.1570738516592000E-03   0.6460903954756586E-04
                        6                        4   0.5910238587068629E-04   0.2431052874643767E-04
                        7                        2   0.4678070572844755E-04   0.1924226365206904E-04
                        7                        3   0.9345838506995128E-04   0.3844214955737639E-04
                        7                        4   0.5806786426675783E-04   0.2388499994890079E-04
                        7                        5   0.5168722446544300E-04   0.2126045738559518E-04
                        8                        3   0.3624731514112427E-04   0.1490957401698637E-04
