              nu/v [m^-1]         E_r/v [V s /m^2]                 N_theta                   N_zeta                     N_xi                     D_11                     D_31                     D_13                     D_33             D_33_Spitzer      Wall-clock time [s]             CPU time [s] 
   0.1000000000000000E-04   0.0000000000000000E+00   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.8128185382574771E-01   0.3549126681157632E+00  -0.3549016345937726E+00   0.3781867573228101E+05   0.6628559315944494E+05   0.4229000000000000E+02   0.3356268740000000E+03
   0.3000000000000000E-04   0.0000000000000000E+00   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.2826258750473686E-01   0.3262947871661193E+00  -0.3262920114347625E+00   0.1291633325153268E+05   0.2209519771981495E+05   0.4748800000000000E+02   0.3770233580000000E+03
   0.1000000000000000E-03   0.0000000000000000E+00   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.9752560915978755E-02   0.2334094562483892E+00  -0.2334093910332433E+00   0.4016281989549992E+04   0.6628559315944491E+04   0.4764200000000000E+02   0.3785813919999999E+03
   0.3000000000000000E-03   0.0000000000000000E+00   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.4302836693883756E-02   0.8865261918548613E-01  -0.8865261914425440E-01   0.1408011778163717E+04   0.2209519771981496E+04   0.4837500000000000E+02   0.3825995119999998E+03
   0.1000000000000000E-02   0.0000000000000000E+00   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.2460647827146423E-02  -0.5468522709472666E-02   0.5468522709382801E-02   0.4599889054338342E+03   0.6628559315944489E+03   0.4872200000000000E+02   0.3871756080000000E+03
   0.3000000000000000E-02   0.0000000000000000E+00   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.2469011506240023E-02  -0.3906755471546641E-01   0.3906755471547074E-01   0.1702768190082778E+03   0.2209519771981497E+03   0.4715500000000000E+02   0.3747325189999999E+03
   0.1000000000000000E-01   0.0000000000000000E+00   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.3422134948512645E-02  -0.3973355749808449E-01   0.3973355749808519E-01   0.5800888200766135E+02   0.6628559315944484E+02   0.4711800000000000E+02   0.3745570980000002E+03
   0.3000000000000000E-01   0.0000000000000000E+00   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.4775107670528020E-02  -0.2128707731436094E-01   0.2128707731436229E-01   0.2099413274617145E+02   0.2209519771981496E+02   0.4771600000000000E+02   0.3792894910000000E+03
   0.1000000000000000E+00   0.0000000000000000E+00   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.8244870576154761E-02  -0.6330857363824870E-02   0.6330857363826173E-02   0.6540010714432153E+01   0.6628559315944492E+01   0.4710000000000000E+02   0.3744317110000002E+03
   0.3000000000000000E+00   0.0000000000000000E+00   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.1917985830721039E-01  -0.1082544977117208E-02   0.1082544977118404E-02   0.2204176343632515E+01   0.2209519771981493E+01   0.4796500000000000E+02   0.3810363469999998E+03
