                        s                     iota                   psi(s)                  psi'(s)             B_theta_s(s)              B_zeta_s(s)
   0.7142857142857144E-02   0.8577199710046201E+00  -0.1360714285714286E-01   0.3031901665900610E+00   0.4743384504624082E-18  -0.1408758027843910E+02
   0.1428571428571429E-01   0.8568829531011209E+00  -0.2721428571428572E-01   0.3031901665900610E+00  -0.9798477133837746E-17  -0.1408758027807880E+02
   0.2142857142857143E-01   0.8559071500988830E+00  -0.4082142857142857E-01   0.3031901665900610E+00   0.3767602549387128E-17  -0.1408758027809710E+02
   0.2857142857142857E-01   0.8549659379585470E+00  -0.5442857142857143E-01   0.3031901665900610E+00  -0.9757819552369540E-18  -0.1408758027831670E+02
   0.3571428571428572E-01   0.8541745305551990E+00  -0.6803571428571430E-01   0.3031901665900610E+00   0.1137057028394173E-16  -0.1408758027858110E+02
   0.4285714285714286E-01   0.8535473896674300E+00  -0.8164285714285716E-01   0.3031901665900610E+00  -0.1260385025514399E-16  -0.1408758027867620E+02
   0.5000000000000000E-01   0.8530819059550280E+00  -0.9525000000000000E-01   0.3031901665900610E+00  -0.1357963221038094E-16  -0.1408758027875880E+02
   0.5714285714285722E-01   0.8527634955387490E+00  -0.1088571428571430E+00   0.3031901665900610E+00  -0.1241411487495903E-16  -0.1408758027920870E+02
   0.6428571428571443E-01   0.8525767607869860E+00  -0.1224642857142860E+00   0.3031901665900610E+00  -0.1295621596120178E-16  -0.1408758027938550E+02
   0.7142857142857166E-01   0.8525057849355990E+00  -0.1360714285714290E+00   0.3031901665900610E+00   0.2574980159653073E-17  -0.1408758027966700E+02
   0.7857142857142835E-01   0.8525376888595380E+00  -0.1496785714285710E+00   0.3031901665900610E+00   0.1656118818471608E-16  -0.1408758027987520E+02
   0.8571428571428556E-01   0.8526604736362450E+00  -0.1632857142857140E+00   0.3031901665900610E+00  -0.5502326025363935E-17  -0.1408758027999000E+02
   0.9285714285714278E-01   0.8528646076077390E+00  -0.1768928571428570E+00   0.3031901665900610E+00  -0.3144186300207963E-17  -0.1408758028007980E+02
   0.1000000000000000E+00   0.8531411909286760E+00  -0.1905000000000000E+00   0.3031901665900610E+00  -0.1254964014651971E-16  -0.1408758028022050E+02
   0.1071428571428572E+00   0.8534832208245610E+00  -0.2041071428571430E+00   0.3031901665900610E+00  -0.3756760527662273E-16  -0.1408758028019560E+02
   0.1142857142857144E+00   0.8538839523451870E+00  -0.2177142857142860E+00   0.3031901665900610E+00   0.1387778780781446E-16  -0.1408758028003160E+02
   0.1214285714285717E+00   0.8543380263915060E+00  -0.2313214285714290E+00   0.3031901665900610E+00   0.2442165393523599E-16  -0.1408758027992200E+02
   0.1285714285714283E+00   0.8548400775484980E+00  -0.2449285714285710E+00   0.3031901665900610E+00   0.3691708397313143E-16  -0.1408758027983370E+02
   0.1357142857142856E+00   0.8553857017543560E+00  -0.2585357142857140E+00   0.3031901665900610E+00   0.2818925648462312E-17  -0.1408758027961490E+02
   0.1428571428571428E+00   0.8559704525047590E+00  -0.2721428571428570E+00   0.3031901665900610E+00   0.1452830911130576E-16  -0.1408758027943610E+02
   0.1500000000000000E+00   0.8565907113234070E+00  -0.2857500000000000E+00   0.3031901665900610E+00  -0.3052029115546695E-16  -0.1408758027925330E+02
   0.1571428571428572E+00   0.8572427368679330E+00  -0.2993571428571430E+00   0.3031901665900610E+00  -0.2276824562219559E-17  -0.1408758027913180E+02
   0.1642857142857144E+00   0.8579234098075660E+00  -0.3129642857142860E+00   0.3031901665900610E+00   0.9486769009248164E-17  -0.1408758027900810E+02
   0.1714285714285717E+00   0.8586294739143280E+00  -0.3265714285714290E+00   0.3031901665900610E+00   0.1111307226797642E-16  -0.1408758027899470E+02
   0.1785714285714284E+00   0.8593582575665790E+00  -0.3401785714285710E+00   0.3031901665900610E+00   0.3089976191583688E-16  -0.1408758027893240E+02
   0.1857142857142856E+00   0.8601069841447960E+00  -0.3537857142857140E+00   0.3031901665900610E+00  -0.4727121472036799E-16  -0.1408758027887630E+02
   0.1928571428571428E+00   0.8608734060259450E+00  -0.3673928571428570E+00   0.3031901665900610E+00  -0.1951563910473908E-16  -0.1408758027881950E+02
   0.2000000000000000E+00   0.8616551504301130E+00  -0.3810000000000000E+00   0.3031901665900610E+00   0.2656295322589486E-17  -0.1408758027877260E+02
   0.2071428571428572E+00   0.8624502893480560E+00  -0.3946071428571430E+00   0.3031901665900610E+00  -0.1653408313040394E-16  -0.1408758027868430E+02
   0.2142857142857144E+00   0.8632568128699160E+00  -0.4082142857142860E+00   0.3031901665900610E+00   0.2206351421008002E-16  -0.1408758027862620E+02
   0.2214285714285711E+00   0.8640731466071870E+00  -0.4218214285714280E+00   0.3031901665900610E+00  -0.6017322057294550E-17  -0.1408758027853940E+02
   0.2285714285714283E+00   0.8648976408556180E+00  -0.4354285714285710E+00   0.3031901665900610E+00  -0.4147073309757054E-16  -0.1408758027846270E+02
   0.2357142857142855E+00   0.8657290257995850E+00  -0.4490357142857140E+00   0.3031901665900610E+00  -0.1458251921993003E-16  -0.1408758027836260E+02
   0.2428571428571428E+00   0.8665659453064110E+00  -0.4626428571428570E+00   0.3031901665900610E+00  -0.1523304052342134E-16  -0.1408758027829030E+02
   0.2500000000000000E+00   0.8674073880154261E+00  -0.4762500000000000E+00   0.3031901665900610E+00   0.2038300084272748E-16  -0.1408758027821950E+02
   0.2571428571428572E+00   0.8682522849544090E+00  -0.4898571428571430E+00   0.3031901665900610E+00   0.1572093150103981E-16  -0.1408758027820080E+02
   0.2642857142857139E+00   0.8690999000112040E+00  -0.5034642857142850E+00   0.3031901665900610E+00   0.4797594613248357E-16  -0.1408758027819200E+02
   0.2714285714285711E+00   0.8699494298967080E+00  -0.5170714285714280E+00   0.3031901665900610E+00  -0.9649399335120989E-17  -0.1408758027817240E+02
   0.2785714285714284E+00   0.8708003284305370E+00  -0.5306785714285710E+00   0.3031901665900610E+00  -0.2222614453595284E-17  -0.1408758027814980E+02
   0.2857142857142856E+00   0.8716519839742690E+00  -0.5442857142857140E+00   0.3031901665900610E+00   0.1772670552013800E-16  -0.1408758027813990E+02
   0.2928571428571428E+00   0.8725040386172310E+00  -0.5578928571428570E+00   0.3031901665900610E+00  -0.6722053469410127E-17  -0.1408758027810960E+02
   0.3000000000000000E+00   0.8733560568754420E+00  -0.5715000000000000E+00   0.3031901665900610E+00   0.3707971429900425E-16  -0.1408758027808080E+02
   0.3071428571428567E+00   0.8742078131021001E+00  -0.5851071428571420E+00   0.3031901665900610E+00  -0.3854338723185968E-16  -0.1408758027804950E+02
   0.3142857142857139E+00   0.8750590067344610E+00  -0.5987142857142850E+00   0.3031901665900610E+00  -0.4857225732735060E-16  -0.1408758027802920E+02
