  *** Flux-surface parameters 
      s =   0.25000000000000000     
      Number of periods =            5
      psi_p =  -0.52370000000000005     
      chi_p =   0.45119999999999999     
      iota =  -0.86156196295589071     
      B00 =    2.4310999999999998     
      B_theta =    0.0000000000000000     
      B_zeta =   -14.087600000000000     
      B00/(B_zeta+iota*B_theta) =  -0.17257020358329309     
  *** Stellarator parameters 
      Aspect_ratio =    26.900133664311628     
      Minor_Radius =   0.21541688947390075     
      Major_Radius =    5.7947431203981745     

  *** Magnetic field strength Fourier modes 
                        m                        n                     B_mn                 B_mn/B00
                        0                        0   0.2431100000000000E+01   0.1000000000000000E+01
                        0                        1   0.1114900000000000E+00   0.4585989881123772E-01
                        0                        2   0.1715500000000000E-03   0.7056476492122908E-04
                        0                        3   0.1617400000000000E-02   0.6652955452264407E-03
                        0                        4   0.6098200000000000E-02   0.2508411830035787E-02
                        0                        5   0.1488100000000000E-02   0.6121097445600757E-03
                        0                        6  -0.2575200000000000E-03  -0.1059273579860968E-03
                        0                        7   0.7441800000000000E-04   0.3061083460162067E-04
                        0                        8  -0.8209400000000000E-05  -0.3376825305417301E-05
                        0                        9  -0.9717399999999999E-05  -0.3997120644975525E-05
                        1                       -8  -0.8241300000000000E-05  -0.3389946937600264E-05
                        1                       -7  -0.1693000000000000E-04  -0.6963925794907655E-05
                        1                       -6  -0.3584800000000000E-04  -0.1474558841676607E-04
                        1                       -5   0.1458400000000000E-03   0.5998930525276624E-04
                        1                       -4   0.1177800000000000E-03   0.4844720496894411E-04
                        1                       -3  -0.1608000000000000E-02  -0.6614289827650035E-03
                        1                       -2   0.3558600000000000E-02   0.1463781827156431E-02
                        1                       -1   0.5455300000000000E-02   0.2243963637859405E-02
                        1                        0  -0.4077600000000000E-01  -0.1677265435399614E-01
                        1                        1  -0.9422800000000001E-01  -0.3875940932088356E-01
                        1                        2   0.3247700000000000E-02   0.1335897330426556E-02
                        1                        3  -0.2945400000000000E-02  -0.1211550327012464E-02
                        1                        4   0.8913000000000000E-03   0.3666241619020197E-03
                        1                        5  -0.6836000000000000E-03  -0.2811895849615401E-03
                        1                        7   0.1205500000000000E-04   0.4958660688577188E-05
                        2                       -7   0.9075000000000000E-05   0.3732878121015179E-05
                        2                       -6  -0.1821800000000000E-03  -0.7493727119410967E-04
                        2                       -5  -0.5392400000000000E-03  -0.2218090576282341E-03
                        2                       -4   0.9448500000000000E-04   0.3886512278392498E-04
                        2                       -3   0.4919300000000000E-03   0.2023487310271071E-03
                        2                       -2   0.3516300000000000E-04   0.1446382296079964E-04
                        2                       -1  -0.2418800000000000E-02  -0.9949405618855662E-03
                        2                        0  -0.3708600000000000E-02  -0.1525482291966599E-02
                        2                        1   0.2023800000000000E-02   0.8324626712187899E-03
                        2                        2  -0.2406900000000000E-03  -0.9900456583439596E-04
                        2                        3   0.1199200000000000E-02   0.4932746493356917E-03
                        2                        4   0.1043300000000000E-03   0.4291472995763235E-04
                        2                        5   0.5580100000000000E-03   0.2295298424581465E-03
                        2                        6  -0.3137900000000000E-03  -0.1290732590185513E-03
                        2                        8  -0.3711600000000000E-04  -0.1526716301262803E-04
                        2                        9   0.1622900000000000E-04   0.6675578956028136E-05
                        3                       -7  -0.1336600000000000E-04  -0.5497922751018058E-05
                        3                       -6  -0.3319700000000000E-04  -0.1365513553535437E-04
                        3                       -5  -0.3742300000000000E-04  -0.1539344329727284E-04
                        3                       -4  -0.1114700000000000E-03  -0.4585167208259636E-04
                        3                       -3  -0.1043000000000000E-03  -0.4290238986467032E-04
                        3                       -2  -0.3858300000000000E-03  -0.1587059355847147E-03
                        3                       -1  -0.3582300000000000E-03  -0.1473530500596438E-03
                        3                        0   0.2167400000000000E-03   0.8915305828637242E-04
                        3                        1   0.6644900000000000E-03   0.2733289457447246E-03
                        3                        2  -0.2770500000000000E-02  -0.1139607585043807E-02
                        3                        3   0.1232400000000000E-02   0.5069310188803422E-03
                        3                        4  -0.3689500000000000E-03  -0.1517625766114105E-03
                        3                        6   0.1788300000000000E-03   0.7355929414668258E-04
                        3                        7  -0.2767200000000000E-04  -0.1138250174817984E-04
                        3                        8   0.2411300000000000E-04   0.9918555386450578E-05
                        3                        9  -0.2098400000000000E-04  -0.8631483690510470E-05
                        3                       10   0.1038500000000000E-04   0.4271728847023981E-05
                        4                       -5  -0.5346600000000000E-04  -0.2199251367693637E-04
                        4                       -4  -0.8053799999999999E-04  -0.3312821356587553E-04
                        4                       -1  -0.1011900000000000E-03  -0.4162313356093949E-04
                        4                        0   0.4101500000000000E-03   0.1687096376126034E-03
                        4                        1   0.3809200000000000E-03   0.1566862737032619E-03
                        4                        2   0.2679500000000000E-03   0.1102175969725639E-03
                        4                        3   0.4151200000000000E-03   0.1707539796799803E-03
                        4                        4  -0.1246500000000000E-03  -0.5127308625724981E-04
                        4                        5  -0.1115900000000000E-03  -0.4590103245444449E-04
                        4                        6  -0.6628800000000000E-04  -0.2726666940890955E-04
                        4                        9   0.1134400000000000E-04   0.4666200485376990E-05
                        4                       10  -0.8880200000000000E-05  -0.3652749784048374E-05
                        5                       -5  -0.1363800000000000E-04  -0.5609806260540497E-05
                        5                       -4   0.1208200000000000E-04   0.4969766772243018E-05
                        5                       -1  -0.5367500000000000E-04  -0.2207848299123853E-04
                        5                        0   0.6773199999999999E-04   0.2786063921681543E-04
                        5                        1   0.1958700000000000E-03   0.8056846694911770E-04
                        5                        2   0.2412000000000000E-03   0.9921434741475053E-04
                        5                        3   0.1370600000000000E-03   0.5637777137921105E-04
                        5                        4   0.1032300000000000E-03   0.4246225988235778E-04
                        5                        5   0.6267200000000000E-04   0.2577927687055243E-04
                        5                        6   0.5204600000000000E-04   0.2140841594340011E-04
                        6                       -1  -0.2896100000000000E-04  -0.1191271440911522E-04
                        6                        0  -0.9321499999999999E-04  -0.3834272551519888E-04
                        6                        1   0.9924099999999999E-04   0.4082143885483937E-04
                        6                        2   0.2406200000000000E-03   0.9897577228415121E-04
                        6                        3   0.1570700000000000E-03   0.6460861338488751E-04
                        6                        4   0.5910200000000000E-04   0.2431080580807042E-04
                        6                        5  -0.2080100000000000E-04  -0.8556209123442064E-05
                        6                        6  -0.1701200000000000E-04  -0.6997655382337214E-05
                        7                        0  -0.1510800000000000E-04  -0.6214470815680146E-05
                        7                        1   0.2197500000000000E-04   0.9039118094689648E-05
                        7                        2   0.4678100000000000E-04   0.1924272962856320E-04
                        7                        3   0.9345800000000000E-04   0.3844268026819136E-04
                        7                        4   0.5806800000000000E-04   0.2388548393731233E-04
                        7                        5   0.5168700000000000E-04   0.2126074616428777E-04
                        8                        0  -0.8467100000000001E-05  -0.3482826703961171E-05
                        8                        1  -0.2374200000000000E-04  -0.9765949570153430E-05
                        8                        2  -0.1369900000000000E-04  -0.5634897782896632E-05
                        8                        3   0.3624700000000000E-04   0.1490971165316112E-04
                        8                        4   0.2045400000000000E-04   0.8413475381514542E-05
                        8                        6   0.8094899999999999E-05   0.3329727283945539E-05
