              nu/v [m^-1]        E_r/v [kV s /m^2]                 N_theta                   N_zeta                     N_xi                     D_11                     D_31                     D_13                     D_33             D_33_Spitzer      Wall-clock time [s]             CPU time [s] 
   0.1000000000000000E-04   0.0000000000000000E+00   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.8083370894586006E-01   0.3558097168370757E+00  -0.3557974189754622E+00   0.3781812078395992E+05   0.6628557164949892E+05   0.5151100000000000E+02   0.3065421270000000E+03
   0.3000000000000000E-04   0.0000000000000000E+00   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.2810661936902454E-01   0.3256727047288699E+00  -0.3256699118954353E+00   0.1291631323187294E+05   0.2209519054983298E+05   0.5205300000000000E+02   0.3100536360000000E+03
   0.1000000000000000E-03   0.0000000000000000E+00   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.9699155660889445E-02   0.2329025257392183E+00  -0.2329024600926479E+00   0.4016302448304731E+04   0.6628557164949895E+04   0.4640400000000000E+02   0.2763523400000000E+03
   0.3000000000000000E-03   0.0000000000000000E+00   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.4279607172778428E-02   0.8845086936898172E-01  -0.8845086932987133E-01   0.1408020116217694E+04   0.2209519054983297E+04   0.5057800000000000E+02   0.2987801900000001E+03
   0.1000000000000000E-02   0.0000000000000000E+00   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.2447678833565723E-02  -0.5447447639456402E-02   0.5447447639466447E-02   0.4599905179276909E+03   0.6628557164949892E+03   0.4539200000000000E+02   0.2704142270000000E+03
   0.3000000000000000E-02   0.0000000000000000E+00   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.2456221430843607E-02  -0.3895792255642924E-01   0.3895792255644744E-01   0.1702769606149787E+03   0.2209519054983300E+03   0.4827800000000000E+02   0.2870043570000000E+03
   0.1000000000000000E-01   0.0000000000000000E+00   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.3404582820706758E-02  -0.3962755023427264E-01   0.3962755023427322E-01   0.5800868190595892E+02   0.6628557164949895E+02   0.4358700000000000E+02   0.2600678040000000E+03
   0.3000000000000000E-01   0.0000000000000000E+00   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.4750847233952003E-02  -0.2123155106854303E-01   0.2123155106854407E-01   0.2099408256854240E+02   0.2209519054983298E+02   0.4510600000000000E+02   0.2690763329999997E+03
   0.1000000000000000E+00   0.0000000000000000E+00   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.8203825856789452E-02  -0.6314388928966685E-02   0.6314388928967800E-02   0.6540004603642042E+01   0.6628557164949894E+01   0.4103900000000000E+02   0.2445700290000000E+03
   0.3000000000000000E+00   0.0000000000000000E+00   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.1908565050702949E-01  -0.1079732003337551E-02   0.1079732003338743E-02   0.2204175406018691E+01   0.2209519054983298E+01   0.5579500000000000E+02   0.3304559079999999E+03
   0.1000000000000000E-04   0.3000000000000000E-03   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.1400431461288929E-01   0.2321125616619340E+00  -0.2321089946449649E+00   0.3785637549083219E+05   0.6628557164949892E+05   0.4554600000000000E+02   0.2716166850000000E+03
   0.3000000000000000E-04   0.3000000000000000E-03   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.1560611355971487E-01   0.2809610046303776E+00  -0.2809607056483295E+00   0.1293144634647544E+05   0.2209519054983298E+05   0.4304000000000000E+02   0.2568998970000002E+03
   0.1000000000000000E-03   0.3000000000000000E-03   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.8697565729005379E-02   0.2156076558877439E+00  -0.2156075977652339E+00   0.4021264502030114E+04   0.6628557164949895E+04   0.4232900000000000E+02   0.2526861930000000E+03
   0.3000000000000000E-03   0.3000000000000000E-03   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.4191516535237921E-02   0.8700089809033036E-01  -0.8700089805026814E-01   0.1408657130498673E+04   0.2209519054983297E+04   0.4484900000000000E+02   0.2672260000000001E+03
   0.1000000000000000E-02   0.3000000000000000E-03   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.2441053561136061E-02  -0.5464932638325092E-02   0.5464932638341260E-02   0.4600327562231358E+03   0.6628557164949892E+03   0.5077000000000000E+02   0.3021207690000001E+03
   0.3000000000000000E-02   0.3000000000000000E-03   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.2455663709139509E-02  -0.3896032239497493E-01   0.3896032239499265E-01   0.1702801848441608E+03   0.2209519054983300E+03   0.4707000000000000E+02   0.2805921240000007E+03
   0.1000000000000000E-01   0.3000000000000000E-03   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.3404803761412899E-02  -0.3962835731974489E-01   0.3962835731974634E-01   0.5800881358244607E+02   0.6628557164949895E+02   0.4723800000000000E+02   0.2813876940000000E+03
   0.3000000000000000E-01   0.3000000000000000E-03   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.4750067988462579E-02  -0.2123163951506457E-01   0.2123163951506574E-01   0.2099408586535471E+02   0.2209519054983298E+02   0.4287900000000000E+02   0.2558205559999997E+03
   0.1000000000000000E+00   0.3000000000000000E-03   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.8183057468135212E-02  -0.6314454782073911E-02   0.6314454782075042E-02   0.6540004638617007E+01   0.6628557164949894E+01   0.4777000000000000E+02   0.2846274120000007E+03
   0.3000000000000000E+00   0.3000000000000000E-03   0.3100000000000000E+02   0.6100000000000000E+02   0.1600000000000000E+03   0.1898075829910024E-01  -0.1079830940781066E-02   0.1079830940782220E-02   0.2204175404041343E+01   0.2209519054983298E+01   0.4414300000000000E+02   0.2633196419999995E+03
